Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Marketing,Jakarta,1,3,5000000,5000000
Hospitality & Travel,Jakarta,1,3,5000000,7000000
Administration,Jakarta,1,3,3000000,5000000
Art & Design,Jakarta,1,3,3800000,4000000
Factory and Manufacturer,Jakarta,0,1,1000000,1500000
Internet & New Media,Jakarta,1,3,7000000,15000000
Hospitality & Travel,Jawa,1,3,7000000,9000000
Internet & New Media,Jakarta,1,3,4000000,6000000
Sales,Jawa,1,3,6000000,6500000
"Accounting, Finance, Banking",Jawa,1,3,6000000,12500000
Art & Design,Jakarta,1,3,15000000,25000000
Other,Jawa,1,3,4500000,5000000
Marketing,Jakarta,1,3,5000000,7000000
Factory and Manufacturer,Jakarta,1,3,4700000,4700000
Art & Design,Jawa,3,5,6000000,6500000
"Accounting, Finance, Banking",Jakarta,1,3,4500000,5500000
Public Relation,Jakarta,1,3,3700000,3700000
Law,Jakarta,1,3,4300000,5500000
Administration,Jawa,3,5,5000000,7500000
Art & Design,Jakarta,1,3,5000000,6500000
Administration,Jakarta,1,3,6000000,8000000
Public Relation,Jawa,3,5,6000000,7000000
Art & Design,Jawa,1,3,4300000,6000000
Administration,Jakarta,1,3,5000000,5000000
Factory and Manufacturer,Jawa,3,5,10000000,10000000
Administration,Jawa,1,3,4500000,5500000
"Accounting, Finance, Banking",Jawa,1,3,7000000,15000000
Business,Jakarta,1,3,3000000,4500000
Public Relation,Jakarta,3,5,5000000,7000000
"Accounting, Finance, Banking",Jawa,5,10,9000000,15000000
Other,Jakarta,1,3,5000000,6000000
Sales,Jakarta,1,3,8000000,12000000
Art & Design,Jawa,1,3,1800000,2400000
Internet & New Media,Jakarta,1,3,7000000,12000000
Human Resources & General Affair,Jakarta,0,1,1500000,1500000
Hospitality & Travel,Jawa,1,3,4000000,4500000
Hospitality & Travel,Jawa,3,5,5000000,7000000
Hospitality & Travel,Jawa,1,3,0,6000000
Factory and Manufacturer,Jawa,1,3,4500000,6000000
Journalistic and Entertainment,Jakarta,1,3,5000000,5000000
Internet & New Media,Jakarta,1,3,4500000,6000000
Human Resources & General Affair,Jakarta,1,3,6400000,8000000
Internet & New Media,Jakarta,0,1,4700000,5500000
Art & Design,Jakarta,3,5,6000000,7000000
"Accounting, Finance, Banking",Jakarta,1,3,2500000,4000000
Research & Development,Jawa,0,1,3500000,4000000
Hospitality & Travel,Jakarta,3,5,12000000,12000000
"Accounting, Finance, Banking",Jakarta,1,3,4500000,6500000
Art & Design,Jakarta,3,5,5000000,6000000
Factory and Manufacturer,Jawa,1,3,3800000,4500000
Factory and Manufacturer,Jakarta,0,1,3000000,4000000
Internet & New Media,Jakarta,0,1,4500000,5000000
Marketing,Jakarta,0,1,5100000,9355000
Administration,Jawa,1,3,6000000,15000000
Business,Jakarta,0,1,4450000,4600000
Public Relation,Jawa,3,5,10000000,15000000
Art & Design,Jawa,1,3,30000000,48000000
Internet & New Media,Jawa,1,3,4500000,5000000
Art & Design,Jakarta,1,3,4500000,6500000
Hospitality & Travel,Jawa,1,3,7000000,8000000
Art & Design,Jakarta,1,3,5000000,5000000
Internet & New Media,Jawa,1,3,4500000,5000000
Internet & New Media,Jakarta,1,3,3000000,3000000
Factory and Manufacturer,Jakarta,3,5,9000000,12000000
Hospitality & Travel,Jakarta,1,3,4000000,5000000
Hospitality & Travel,Jawa,0,1,1500000,2000000
Data Analyst & Data Science,Jakarta,1,3,6000000,7000000
Factory and Manufacturer,Jawa,1,3,3500000,5000000
Art & Design,Jawa,1,3,4200000,5500000
Administration,Jakarta,0,1,1500000,2000000
Hospitality & Travel,Jakarta,1,3,5000000,7500000
Factory and Manufacturer,Jakarta,0,1,400,400
Data Analyst & Data Science,Jakarta,1,3,4000000,6000000
Administration,Jakarta,0,1,2000000,10000000
Internet & New Media,Jawa,3,5,20000000,30000000
Sales,Jakarta,0,1,2000000,4000000
Other,Jawa,1,3,5000000,7000000
Business,Jawa,1,3,3000000,5000000
Public Relation,Jakarta,5,10,5000000,6500000
Art & Design,Jakarta,1,3,5000000,8000000
Administration,Jakarta,0,1,4500000,5000000
Internet & New Media,Jakarta,1,3,5000000,5000100
Public Relation,Jakarta,0,1,4500000,7800000
Journalistic and Entertainment,Jakarta,1,3,5000000,6000000
"Accounting, Finance, Banking",Jawa,0,1,4000000,5000000
Hospitality & Travel,Jakarta,1,3,4500000,6000000
Administration,Jawa,1,3,3500000,4500000
"Accounting, Finance, Banking",Jakarta,1,3,3000000,4000000
"Accounting, Finance, Banking",Jawa,1,3,3500000,3500000
Internet & New Media,Jakarta,1,3,2000000,3000000
Human Resources & General Affair,Jakarta,1,3,4000000,6000000
"Accounting, Finance, Banking",Jawa,1,3,5000000,5250000
Human Resources & General Affair,Jawa,1,3,2000000,3000000
Human Resources & General Affair,Jawa,1,3,5000000,10000000
Art & Design,Jawa,1,3,4000000,4800000
Art & Design,Jakarta,1,3,3800000,4500000
Factory and Manufacturer,Jakarta,1,3,10000000,18000000
Business,Jakarta,1,3,500000,2000000
Factory and Manufacturer,Jakarta,1,3,5000000,6500000
Sales,Jakarta,5,10,8000000,15000000
Factory and Manufacturer,Jakarta,1,3,4500000,4500000
Administration,Jawa,5,10,157107204175.53738,261845340292.56235
Law,Jawa,1,3,2900000,2900000
Administration,Jawa,5,10,35000000,40000000
Internet & New Media,Jakarta,1,3,2500000,3000000
Factory and Manufacturer,Jakarta,1,3,10000000,10000000
Administration,Jakarta,1,3,4200000,5000000
Data Analyst & Data Science,Jawa,1,3,5500000,6500000
Journalistic and Entertainment,Bali dan Nusa Tenggara,3,5,5000000,6000000
Factory and Manufacturer,Jakarta,1,3,12000000,17800000
Internet & New Media,Jakarta,3,5,15000000,20000100
Internet & New Media,Jakarta,1,3,4000000,6000000
Law,Jakarta,1,3,5000000,6000000
Internet & New Media,Jakarta,1,3,4000000,8000000
Internet & New Media,Jakarta,1,3,5,8
Administration,Jawa,1,3,15000000,25000000
"Accounting, Finance, Banking",Jakarta,1,3,4000000,6000000
Art & Design,Jakarta,1,3,7000000,8000000
Internet & New Media,Jakarta,1,3,7000000,15000000
Internet & New Media,Jawa,1,3,4500000,5500000
Art & Design,Jakarta,1,3,4500000,5000000
Business,Jakarta,1,3,4500000,5000000
"Accounting, Finance, Banking",Jakarta,1,3,5000000,5000000
Hospitality & Travel,Jawa,1,3,5000000,8000000
Public Relation,Jawa,0,1,4000000,4500000
Internet & New Media,Jawa,3,5,4500000,8500000
Internet & New Media,Jawa,1,3,4500000,6000000
Administration,Jakarta,1,3,3000000,4000000
Administration,Jakarta,3,5,5000000,10000000
Law,Jakarta,1,3,5000000,10000000
Factory and Manufacturer,Jakarta,1,3,3000000,3000000
Marketing,Jakarta,1,3,5000000,8500000
"Accounting, Finance, Banking",Jawa,1,3,5000000,5000000
Public Relation,Jakarta,1,3,6500000,7500000
Business,Jakarta,1,3,4000000,5000000
Internet & New Media,Jakarta,0,1,2000000,5000000
Public Relation,Jawa,1,3,3000000,5000000
Administration,Jakarta,1,3,4600000,5300000
Public Relation,Jakarta,1,3,2000000,3000000
"Accounting, Finance, Banking",Jawa,0,1,3500000,4500000
Factory and Manufacturer,Jakarta,1,3,45000000,45000000
Factory and Manufacturer,Jawa,1,3,3000000,4000000
Internet & New Media,Jakarta,0,1,500000,500000
Other,Jakarta,0,1,4500000,5500000
Marketing,Jawa,1,3,4600000,4800000
Public Relation,Jakarta,1,3,6000000,8000000
"Accounting, Finance, Banking",Jawa,3,5,7000000,12000000
"Accounting, Finance, Banking",Jakarta,1,3,8000000,12000000
Research & Development,Jawa,1,3,4500000,6000000
Internet & New Media,Jakarta,1,3,4500000,7000000
Business,Jawa,0,1,4375479,5500000
Art & Design,Jakarta,1,3,5000000,6000000
Factory and Manufacturer,Jawa,1,3,5000000,7000000
Hospitality & Travel,Jakarta,1,3,3500000,4200000
Factory and Manufacturer,Jakarta,3,5,15000000,20000000
Other,Jakarta,1,3,6000000,7500000
Administration,Jakarta,1,3,5000000,8000000
Business,Jakarta,1,3,2500000,4500000
Hospitality & Travel,Jakarta,1,3,4200000,5000000
Factory and Manufacturer,Jawa,1,3,3000000,5000000
Hospitality & Travel,Jakarta,0,1,5000000,6000000
Factory and Manufacturer,Jakarta,1,3,5500000,9000000
Factory and Manufacturer,Jawa,1,3,7000000,8000000
Internet & New Media,Jakarta,0,1,4000000,5000000
Hospitality & Travel,Jawa,0,1,2000000,3000000
Business,Jakarta,1,3,5500000,6500000
Art & Design,Jawa,1,3,3000000,6000000
Hospitality & Travel,Jakarta,3,5,3500000,4500000
Business,Jakarta,5,10,15000000,20000000
"Accounting, Finance, Banking",Jakarta,1,3,1800000,2800000
Marketing,Jawa,3,5,15000000,30000000
Internet & New Media,Jawa,1,3,5000000,5700000
Factory and Manufacturer,Jawa,0,1,3000000,15000000
Business,Jawa,1,3,120000000,120000000
Sales,Jawa,1,3,5000000,6000000
Journalistic and Entertainment,Jawa,3,5,15000000,30000000
Internet & New Media,Jakarta,1,3,2000000,4000000
Factory and Manufacturer,Jakarta,0,1,1000000,2000000
"Accounting, Finance, Banking",Jakarta,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,1,3,3500000,4700000
Factory and Manufacturer,Jakarta,0,1,2500000,2500000
Business,Jakarta,0,1,4000000,5500000
Hospitality & Travel,Jakarta,1,3,6000000,6000000
Public Relation,Jakarta,1,3,4000000,5000000
Art & Design,Jawa,1,3,5000000,7000000
Sales,Jakarta,0,1,4000000,7000000
Marketing,Jakarta,1,3,4200000,4600000
Hospitality & Travel,Jakarta,1,3,4000000,4000000
Research & Development,Jakarta,1,3,4000000,5000000
Marketing,Jawa,0,1,4310000,6000000
Public Relation,Jawa,0,1,2000000,4000000
Factory and Manufacturer,Jakarta,1,3,1000000,1500000
Art & Design,Jawa,3,5,10000000,15000000
"Accounting, Finance, Banking",Jakarta,1,3,2000000,3500000
Factory and Manufacturer,Jakarta,1,3,3000000,4500000
"Accounting, Finance, Banking",Jakarta,1,3,4000000,6000000
Administration,Jakarta,3,5,4000000,4600000
Factory and Manufacturer,Jawa,1,3,5000000,6000000
Hospitality & Travel,Jakarta,1,3,5000000,8000000
Factory and Manufacturer,Jakarta,1,3,4500000,4500000
Research & Development,Jakarta,1,3,3000000,3200000
Hospitality & Travel,Jawa,1,3,4500000,6000000
"Accounting, Finance, Banking",Jawa,1,3,4000000,5000000
Journalistic and Entertainment,Jakarta,1,3,7000000,10000000
Factory and Manufacturer,Jakarta,1,3,3000000,4000000
Data Analyst & Data Science,Jawa,1,3,6000000,7000000
Administration,Jawa,1,3,5000000,6000000
Hospitality & Travel,Jakarta,1,3,5000000,6000000
Factory and Manufacturer,Jakarta,1,3,4000000,4500000
Factory and Manufacturer,Jakarta,0,1,2000000,2500000
Human Resources & General Affair,Jakarta,3,5,6000000,20000000
Factory and Manufacturer,Jakarta,0,1,5000000,7000000
Internet & New Media,Jakarta,0,1,1500000,1500000
Art & Design,Jawa,0,1,1000000,2000000
Art & Design,Jawa,1,3,5000000,7000000
Administration,Jakarta,1,3,6000000,9000000
Art & Design,Jakarta,0,1,2000000,2500000
Factory and Manufacturer,Jawa,0,1,5000000,15000000
Data Analyst & Data Science,Jakarta,1,3,4000000,6000000
Hospitality & Travel,Jawa,3,5,6000000,8000000
"Accounting, Finance, Banking",Jawa,1,3,7000000,10000000
Administration,Jakarta,0,1,4500000,80000000
Factory and Manufacturer,Jakarta,3,5,4500000,6000000
Law,Jawa,1,3,7000000,14000000
Hospitality & Travel,Jakarta,1,3,4450000,4700000
Internet & New Media,Jawa,3,5,9000000,12000000
"Accounting, Finance, Banking",Jawa,3,5,15000000,20000000
Asuransi,Jakarta,3,5,7500000,13000000
Marketing,Jakarta,0,1,5000000,5000000
Internet & New Media,Jakarta,0,1,1000000,5000000
Research & Development,Jawa,1,3,2000000,3000000
Research & Development,Sumatera,1,3,4000000,6000000
Human Resources & General Affair,Jakarta,1,3,4500000,5000000
Administration,Jakarta,1,3,5000000,6000000
Internet & New Media,Jawa,1,3,3500000,4000000
Journalistic and Entertainment,Jawa,1,3,3800000,3800000
Internet & New Media,Jakarta,1,3,5000000,6000000
"Accounting, Finance, Banking",Jawa,1,3,7000000,8000000
Internet & New Media,Jawa,1,3,4000000,6000000
Factory and Manufacturer,Jawa,1,3,9000000,27000000
Factory and Manufacturer,Jakarta,5,10,10000000,15000000
Administration,Jakarta,1,3,4500000,6000000
"Accounting, Finance, Banking",Jakarta,0,1,4000000,5500000
Data Analyst & Data Science,Jawa,3,5,3500000,5000000
Administration,Bali dan Nusa Tenggara,1,3,4000000,4500000
Sales,Jakarta,1,3,4000000,6000000
Factory and Manufacturer,Jakarta,3,5,3500000,4500000
Art & Design,Jakarta,3,5,5000000,6000000
"Accounting, Finance, Banking",Jakarta,1,3,8000000,12000000
"Accounting, Finance, Banking",Jawa,1,3,5000000,8000000
Sales,Jawa,1,3,4500000,5000000
Factory and Manufacturer,Jakarta,0,1,5000000,6000000
Art & Design,Jawa,1,3,5000000,10000000
Law,Jawa,0,1,2000000,3000000
Administration,Jakarta,3,5,4000000,8000000
Hospitality & Travel,Jawa,3,5,7500000,14000000
Education,Jakarta,1,3,3000000,4000000
Internet & New Media,Jakarta,1,3,6000000,8000000
"Accounting, Finance, Banking",Jawa,3,5,15000000,20000000
Sales,Jakarta,1,3,3300000,3700000
Sales,Jakarta,3,5,3000000,5500000
Hospitality & Travel,Jakarta,1,3,4600000,4700000
Data Analyst & Data Science,Jawa,1,3,6000000,8000000
Hospitality & Travel,Jakarta,0,1,2000000,2500000
Internet & New Media,Jawa,0,1,7000000,8000000
Art & Design,Jawa,0,1,4000000,4500000
Administration,Jawa,1,3,2600000,3000000
Art & Design,Jakarta,1,3,10000000,20000000
"Accounting, Finance, Banking",Jakarta,1,3,4500000,8000000
Art & Design,Jakarta,1,3,4000000,8000000
Human Resources & General Affair,Jakarta,1,3,4500000,4500000
Journalistic and Entertainment,Jawa,1,3,4500000,6000000
Hospitality & Travel,Jakarta,1,3,6500000,8000000
Factory and Manufacturer,Jakarta,1,3,6000000,9000000
Internet & New Media,Jawa,1,3,6000000,8000000
Public Relation,Jakarta,1,3,4500000,5000000
Hospitality & Travel,Jakarta,0,1,1800000,2500000
Business,Jawa,1,3,5000000,6000000
Journalistic and Entertainment,Jakarta,1,3,3000000,10000000
Internet & New Media,Jakarta,3,5,20000000,30000000
Sales,Jakarta,1,3,5000000,8500000
Research & Development,Jawa,1,3,2500000,3000000
Marketing,Jakarta,1,3,3500000,4000000
"Accounting, Finance, Banking",Jakarta,1,3,6000000,10000000
Journalistic and Entertainment,Jawa,1,3,4500000,7000000
Internet & New Media,Jawa,0,1,4000000,4700000
Business,Jakarta,1,3,7000000,15000000
Other,Jawa,0,1,4000000,5500000
"Accounting, Finance, Banking",Jakarta,1,3,4500000,5000000
Art & Design,Jakarta,1,3,6000000,10000000
Internet & New Media,Jakarta,5,10,10000000,15000000
"Accounting, Finance, Banking",Jawa,1,3,3000000,3000000
Art & Design,Jakarta,0,1,1500000,1500000
Sales,Sumatera,1,3,5000000,8000000
Internet & New Media,Sumatera,0,1,500000,3500000
Data Analyst & Data Science,Jakarta,3,5,10000000,13000000
Administration,Jawa,3,5,7000000,12000000
Internet & New Media,Jakarta,1,3,2000000,5000000
Marketing,Jawa,3,5,6000000,8000000
"Accounting, Finance, Banking",Jakarta,1,3,2500000,2500000
Factory and Manufacturer,Jawa,3,5,10000000,12000000
"Accounting, Finance, Banking",Jawa,1,3,6000000,9000000
Factory and Manufacturer,Jawa,1,3,6000000,6000000
Internet & New Media,Jawa,0,1,4200,4200
Internet & New Media,Jakarta,0,1,4400000,5500000
Factory and Manufacturer,Jawa,1,3,4500000,6500000
Factory and Manufacturer,Jakarta,1,3,6500000,7500000
Human Resources & General Affair,Jawa,1,3,4500000,6500000
"Accounting, Finance, Banking",Jakarta,3,5,7999900,7999900
Sales,Jawa,1,3,6000000,10000000
Factory and Manufacturer,Jakarta,1,3,4200000,6000000
Internet & New Media,Jakarta,1,3,5500000,6000000
Factory and Manufacturer,Jawa,5,10,25000000,30000000
Education,Jakarta,3,5,8000000,12000000
Art & Design,Jakarta,1,3,7000000,8500000
Factory and Manufacturer,Jawa,1,3,3000000,5000000
Internet & New Media,Jawa,1,3,4370000,7000000
Marketing,Jakarta,1,3,9000000,18000000
Data Analyst & Data Science,Jawa,0,1,2000000,2000000
Business,Jawa,0,1,5000000,5000000
Internet & New Media,Jakarta,3,5,7000000,12000000
Factory and Manufacturer,Jawa,0,1,5500000,7000000
"Accounting, Finance, Banking",Sumatera,0,1,4500000,5000000
Internet & New Media,Jakarta,1,3,3500000,5000000
Law,Jawa,1,3,6500000,8500000
Sales,Jawa,1,3,8000000,20000000
Art & Design,Jakarta,1,3,5000000,6000000
Art & Design,Jakarta,1,3,3000000,3000000
Factory and Manufacturer,Jakarta,1,3,12000000,20000000
Internet & New Media,Jawa,1,3,8000000,8000000
Hospitality & Travel,Jawa,1,3,4000000,6000000
Factory and Manufacturer,Jakarta,1,3,4000000,5000000
Hospitality & Travel,Jawa,3,5,10000000,15000000
Public Relation,Jawa,1,3,2500000,8000000
Other,Jawa,1,3,3500000,5000000
Business,Jawa,5,10,30000000,50000000
Hospitality & Travel,Jakarta,1,3,4000,5000
Factory and Manufacturer,Jawa,1,3,3000000,4000000
Internet & New Media,Jawa,3,5,4000000,6000000
Business,Jakarta,0,1,4600000,4800000
Factory and Manufacturer,Jakarta,1,3,3500000,5000000
Data Analyst & Data Science,Jawa,1,3,2300000,4000000
Journalistic and Entertainment,Jakarta,1,3,4641000,4641000
Research & Development,Jawa,1,3,4500000,5500000
Journalistic and Entertainment,Jakarta,1,3,4500000,5500000
Internet & New Media,Jawa,1,3,3500000,3800000
Administration,Jakarta,1,3,4000000,7000000
Other,Jakarta,0,1,1500000,1500000
Business,Jakarta,0,1,1500000,1500000
Administration,Jawa,1,3,1600000,3000000
Other,Jawa,1,3,2200000,2500000
Other,Jakarta,1,3,3300000,3600000
Art & Design,Jakarta,0,1,6000000,8000000
Factory and Manufacturer,Jakarta,1,3,6000000,7000000
Sales,Jawa,1,3,10000000,50000000
Art & Design,Jakarta,1,3,8000000,25000000
Hospitality & Travel,Jakarta,1,3,3000000,3500000
Art & Design,Jakarta,1,3,4375479,4500000
Other,Jakarta,1,3,4000000,8000000
Internet & New Media,Jawa,1,3,5000000,7000000
"Accounting, Finance, Banking",Jakarta,1,3,4500000,6000000
Administration,Jawa,1,3,2000000,3000000
Data Analyst & Data Science,Jawa,1,3,2000000,3000000
Factory and Manufacturer,Jawa,1,3,5000000,8000000
Administration,Jakarta,1,3,3500000,4500000
Other,Jakarta,3,5,7000000,13000000
Journalistic and Entertainment,Jawa,0,1,3700000,4000000
Hospitality & Travel,Sumatera,1,3,50000000,65000000
Factory and Manufacturer,Jawa,1,3,4000000,6000000
Administration,Jawa,1,3,3000000,3500000
"Accounting, Finance, Banking",Jawa,1,3,5000000,7000000
Hospitality & Travel,Jakarta,1,3,4200000,4200000
"Accounting, Finance, Banking",Jakarta,3,5,8000000,9000000
Administration,Jawa,1,3,8000000,10000000
Human Resources & General Affair,Jawa,1,3,12000000,16000000
Internet & New Media,Jawa,1,3,3500000,4000000
Public Relation,Jakarta,1,3,4300000,5500000
Internet & New Media,Jakarta,3,5,5000000,6500000
Factory and Manufacturer,Jakarta,1,3,4000000,5000000
Factory and Manufacturer,Jakarta,3,5,10000000,13000000
Hospitality & Travel,Jakarta,1,3,2500000,3000000
"Accounting, Finance, Banking",Bali dan Nusa Tenggara,1,3,7500000,10000000
Factory and Manufacturer,Sumatera,1,3,11000000,20000000
Factory and Manufacturer,Jakarta,1,3,2000000,4000000
Administration,Jakarta,5,10,8000000,16000000
Business,Jawa,5,10,25000000,38000000
Research & Development,Jakarta,1,3,4000000,4000000
Sales,Jawa,0,1,2500000,3000000
Hospitality & Travel,Jakarta,3,5,15000000,35000000
Factory and Manufacturer,Jakarta,1,3,5000000,7000000
Hospitality & Travel,Jawa,1,3,8500000,17000000
Factory and Manufacturer,Jakarta,1,3,5000000,5500000
Internet & New Media,Jakarta,1,3,5000000,7000000
Internet & New Media,Jawa,1,3,4000000,5000000
Sales,Jakarta,1,3,2500000,4000000
"Accounting, Finance, Banking",Jakarta,1,3,5000000,6000000
Administration,Jakarta,0,1,5000000,7000000
Hospitality & Travel,Jakarta,1,3,6000000,7000000
"Accounting, Finance, Banking",Jawa,1,3,6000000,7000000
Factory and Manufacturer,Jakarta,0,1,1500000,2500000
Sales,Jakarta,1,3,7000000,8500000
Research & Development,Jawa,1,3,5250000,8250000
Business,Jawa,0,1,800000,800000
Consultant,Jakarta,1,3,8000000,12000000
Marketing,Jakarta,1,3,8000000,10000000
Internet & New Media,Jawa,0,1,500000,1000000
Hospitality & Travel,Jawa,1,3,4200000,5200000
Marketing,Jakarta,0,1,3855000,3855000
Hospitality & Travel,Jawa,1,3,2000000,4000000
Sales,Jakarta,0,1,2500000,5000000
Internet & New Media,Jakarta,1,3,3500000,3500000
Business,Jakarta,1,3,5500000,7500000
Administration,Jakarta,1,3,4500000,20000000
Art & Design,Jakarta,1,3,8000000,12000000
Consultant,Jakarta,1,3,6000000,8000000
Art & Design,Jawa,1,3,5000000,5000000
Sales,Jawa,1,3,4375000,4375000
Hospitality & Travel,Jawa,0,1,3500000,4000000
Hospitality & Travel,Jakarta,1,3,12000000,12000000
Public Relation,Jawa,1,3,4000000,5000000
Art & Design,Jakarta,1,3,2500000,3500000
Art & Design,Jakarta,0,1,2000000,3000000
Hospitality & Travel,Jakarta,1,3,7000000,12000000
Other,Jawa,1,3,8000000,12000000
"Accounting, Finance, Banking",Jakarta,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,1,3,5000000,6000000
Factory and Manufacturer,Jakarta,1,3,2000000,4000000
Marketing,Jakarta,1,3,4100000,4200000
Factory and Manufacturer,Jawa,1,3,7000000,8000000
Sales,Jakarta,1,3,3500000,5500000
Factory and Manufacturer,Jawa,1,3,7000000,8000000
Art & Design,Jawa,1,3,2000000,2500000
Factory and Manufacturer,Jakarta,1,3,5000000,8500000
Factory and Manufacturer,Jakarta,1,3,4500000,6000000
Factory and Manufacturer,Jakarta,0,1,6000000,6000000
Sales,Jakarta,0,1,2000000,4000000
Research & Development,Jakarta,1,3,3800000,4500000
Internet & New Media,Jawa,3,5,5000000,6500000
Sales,Jawa,1,3,1500000,2000000
Journalistic and Entertainment,Jakarta,5,10,30000000,40000000
Factory and Manufacturer,Sumatera,1,3,4500000,6000000
"Accounting, Finance, Banking",Sumatera,1,3,6000000,15000000
Research & Development,Jakarta,1,3,2500000,3500000
Other,Jakarta,1,3,5000000,7500000
Business,Jawa,1,3,4000000,4000000
Internet & New Media,Jawa,3,5,5500000,8000000
Hospitality & Travel,Jakarta,1,3,3000000,5000000
Factory and Manufacturer,Jawa,1,3,8000000,81000000
Factory and Manufacturer,Jawa,1,3,3000000,7000100
Sales,Jakarta,1,3,5000000,10000000
Sales,Jakarta,1,3,3500000,5000000
Data Analyst & Data Science,Jakarta,1,3,4500000,5500000
Research & Development,Jakarta,1,3,2000000,3000000
Art & Design,Jakarta,0,1,4500000,4500000
Business,Jakarta,1,3,3000000,5000000
Sales,Jawa,1,3,5000000,6000000
Public Relation,Sumatera,1,3,2000000,3000000
Art & Design,Jawa,1,3,6500000,10000000
"Accounting, Finance, Banking",Sumatera,1,3,7000000,8000000
"Accounting, Finance, Banking",Jakarta,0,1,800000,1000000
Consultant,Jawa,1,3,6000000,8000000
Factory and Manufacturer,Jakarta,3,5,8000000,10000000
Factory and Manufacturer,Jakarta,0,1,2000000,7000000
Asuransi,Jakarta,0,1,3500000,5000000
Sales,Jakarta,5,10,721561317.1839516,1443122634.3679032
Data Analyst & Data Science,Jakarta,0,1,3500000,8000000
Art & Design,Jawa,1,3,2000000,3000000
Factory and Manufacturer,Jawa,1,3,4200000,5000000
"Accounting, Finance, Banking",Jakarta,0,1,3000000,6000000
Factory and Manufacturer,Jakarta,1,3,5000000,6000000
Hospitality & Travel,Jakarta,1,3,15000000,20000000
Internet & New Media,Jawa,1,3,4399001.716915047,10473813.611702494
Marketing,Jakarta,5,10,9000000,10000000
Hospitality & Travel,Jakarta,5,10,25000000,35000000
Internet & New Media,Jakarta,1,3,34563584918.618225,41895254446.809975
Internet & New Media,Jakarta,0,1,1500000,2000000
Factory and Manufacturer,Jakarta,1,3,6000000,6000000
Journalistic and Entertainment,Jakarta,1,3,4700000,6000000
Factory and Manufacturer,Jakarta,1,3,4500000,6000000
Hospitality & Travel,Jakarta,1,3,5000000,7000000
Factory and Manufacturer,Jakarta,1,3,3000000,3000000
Factory and Manufacturer,Sumatera,0,1,3000000,3000000
Art & Design,Jawa,3,5,10000000,20000000
Factory and Manufacturer,Jakarta,1,3,4600000,6000000
Human Resources & General Affair,Jawa,3,5,20000000,20000000
Art & Design,Jawa,1,3,2500000,3500000
Sales,Jawa,1,3,2000000,4000000
Consultant,Bali dan Nusa Tenggara,1,3,11516000,12955500
Hospitality & Travel,Jawa,1,3,4640000,5000000
Data Analyst & Data Science,Jakarta,1,3,4000000,5000000
Security,Jakarta,1,3,8000000,12000000
Factory and Manufacturer,Jakarta,1,3,2000000,9000000
Factory and Manufacturer,Sumatera,1,3,7000000,13500000
"Accounting, Finance, Banking",Jakarta,0,1,3600000,4500000
Factory and Manufacturer,Sumatera,1,3,12000000,25000000
"Accounting, Finance, Banking",Jakarta,1,3,15000000,20000000
Administration,Jakarta,1,3,4000000,5000000
Business,Jakarta,1,3,5000000,6000000
Factory and Manufacturer,Jawa,1,3,4500000,4700000
Internet & New Media,Jawa,0,1,5000000,7000000
Human Resources & General Affair,Jakarta,0,1,1048250,2096500
Hospitality & Travel,Jakarta,1,3,20000000,40000000
Hospitality & Travel,Jawa,1,3,20000000,40000000
Factory and Manufacturer,Jakarta,1,3,2200000,3200000
Research & Development,Jakarta,1,3,5000000,8000000
Administration,Jakarta,1,3,10000000,18000000
Art & Design,Bali dan Nusa Tenggara,0,1,4000000,6000000
Internet & New Media,Jawa,1,3,4500000,5500000
Marketing,Jakarta,1,3,8000000,12000000
Factory and Manufacturer,Jawa,1,3,8000000,10000000
Hospitality & Travel,Jakarta,1,3,3000000,5000000
"Accounting, Finance, Banking",Jakarta,3,5,8000000,11000000
Factory and Manufacturer,Jawa,0,1,2500000,3500000
Hospitality & Travel,Jakarta,1,3,5000000,6000000
Research & Development,Jakarta,0,1,4300000,5500000
Sales,Jakarta,5,10,5000000,8000000
Factory and Manufacturer,Jakarta,1,3,4000000,4000000
"Accounting, Finance, Banking",Jawa,5,10,8000000,12500000
Business,Jawa,1,3,7000000,15000000
Hospitality & Travel,Jawa,1,3,4500000,6500000
"Accounting, Finance, Banking",Jawa,1,3,4000000,5500000
Health,Jakarta,1,3,4000000,6000000
"Accounting, Finance, Banking",Jakarta,0,1,3000000,5000000
Administration,Jawa,3,5,5000000,7000000
Factory and Manufacturer,Jakarta,3,5,14431226.343679031,72156131.71839516
"Accounting, Finance, Banking",Jakarta,0,1,1000000,4000000
"Accounting, Finance, Banking",Jakarta,5,10,60000000,90000000
Hospitality & Travel,Jakarta,1,3,5000000,5250000
"Accounting, Finance, Banking",Jakarta,1,3,5000000,6000000
Sales,Jakarta,1,3,4416500,6000000
Hospitality & Travel,Jawa,10,20,1500000,25000000
Factory and Manufacturer,Jawa,1,3,4500000,7000000
Internet & New Media,Jawa,1,3,4000000,10000000
Factory and Manufacturer,Jakarta,1,3,10000000,10000000
"Accounting, Finance, Banking",Jakarta,3,5,15710720.41755374,41895254.44680998
Sales,Jawa,1,3,3500000,4500000
Factory and Manufacturer,Jakarta,1,3,6500000,7500000
