Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Factory and Manufacturer,Jakarta,0,0,4600000,5000000
Research & Development,Jawa,0,0,3500000,5000000
"Accounting, Finance, Banking",Bali dan Nusa Tenggara,0,1,3000000,6000000
Internet & New Media,Jawa,0,0,3000000,3300000
Journalistic and Entertainment,Kalimantan,0,0,2000000,4000000
Sales,Jakarta,0,1,4300000,4500000
Research & Development,Jawa,0,1,4500000,60000000
"Accounting, Finance, Banking",Jawa,0,0,6000000,10000000
Sales,Jawa,0,1,5500000,8000000
Marketing,Jawa,0,0,4000000,4500000
Factory and Manufacturer,Jawa,0,0,5500000,6500000
"Accounting, Finance, Banking",Jakarta,0,1,4000000,10000000
Research & Development,Jakarta,0,1,2500000,5000000
"Accounting, Finance, Banking",Jakarta,0,1,2000000,20000000
Hospitality & Travel,Jawa,0,1,4500000,5000000
Hospitality & Travel,Kalimantan,0,0,7000000,8500000
"Accounting, Finance, Banking",Jakarta,0,0,3000000,5000000
Other,Jawa,0,1,17000000,30000000
Marketing,Jawa,0,0,4600000,5000000
Journalistic and Entertainment,Jawa,0,0,3000000,5000000
Factory and Manufacturer,Jawa,0,0,1700000,2500000
Research & Development,Bali dan Nusa Tenggara,0,0,3500000,5000000
Factory and Manufacturer,Jawa,0,0,1939000,5000000
Other,Jawa,0,1,2250000,2500000
Sales,Jakarta,0,1,5000000,7000000
Marketing,Jawa,0,0,5000000,15000000
Other,Jakarta,0,0,4300000,5000000
Asuransi,Jakarta,0,0,10000000,20000000
Sales,Jakarta,0,0,3500000,5500000
Other,Jawa,0,1,17000000,30000000
Other,Jakarta,0,1,4600000,5000000
Factory and Manufacturer,Jakarta,0,0,4600000,5000000
Research & Development,Jawa,0,0,10000000,20000000
Marketing,Jawa,0,0,4500000,6000000
Hospitality & Travel,Bali dan Nusa Tenggara,0,1,500000,10000000
Other,Jawa,0,1,2500000,2800000
Other,Jakarta,0,1,5000000,7000000
Marketing,Jawa,0,1,6000000,10000000
Sales,Jakarta,0,1,2700000,5000000
Sales,Jawa,0,0,10000000,18000000
Sales,Jakarta,0,0,4300000,5000000
Asuransi,Jakarta,0,1,12000000,20000000
Hospitality & Travel,Sumatera,0,1,4600000,4700000
Sales,Jawa,0,1,4600000,5000000
Sales,Jakarta,0,0,5000000,7000000
Factory and Manufacturer,Jawa,0,0,2000000,10000000
Sales,Jakarta,0,1,1500000,3500000
Marketing,Jawa,0,1,6000000,15000000
Sales,Jakarta,0,0,4500000,7000000
Factory and Manufacturer,Sulawesi,0,0,4000000,6000000
Data Analyst & Data Science,Jawa,0,1,4400000,7000000
Other,Jawa,0,1,3700000,4200000
Research & Development,Sumatera,0,1,15000000,30000000
Other,Jakarta,0,1,500000,10000000
Other,Jawa,0,0,5000000,7000000
Sales,Kalimantan,0,1,5000000,7000000
Sales,Jawa,0,1,3226000,3226001
Sales,Jakarta,0,0,10000000,20000000
Factory and Manufacturer,Sumatera,0,1,2700000,2800000
Other,Sumatera,0,0,4300000,4800000
"Accounting, Finance, Banking",Jakarta,0,0,10000000,15000000
Business,Jawa,0,0,15000000,25000000
"Accounting, Finance, Banking",Jakarta,0,0,2000000,4000000
"Accounting, Finance, Banking",Bali dan Nusa Tenggara,0,0,20000000,25000000
Hospitality & Travel,Bali dan Nusa Tenggara,0,0,2000000,3500000
Data Analyst & Data Science,Sumatera,0,1,8000000,12000000
Sales,Jawa,0,1,500000,10000000
Other,Jawa,0,1,2000000,2400000
Sales,Jawa,0,1,3000000,4200000
Marketing,Jawa,0,1,2000000,2150000
Other,Jawa,0,1,4400000,6000000
Hospitality & Travel,Sumatera,0,1,2600000,3100000
"Accounting, Finance, Banking",Jakarta,0,0,4400000,4600000
Factory and Manufacturer,Jawa,0,1,500000,10000000
Sales,Jakarta,0,0,4000000,6000000
Sales,Jakarta,0,0,8500000,11500000
"Accounting, Finance, Banking",Jawa,0,0,4400000,5000000
Asuransi,Sumatera,0,1,4300000,4800000
Factory and Manufacturer,Jawa,0,0,4641000,4641200
Research & Development,Jawa,0,1,5000000,20000000
Journalistic and Entertainment,Jawa,0,0,4700000,6700000
Factory and Manufacturer,Jakarta,0,0,4000000,9000000
Education,Jawa,0,1,12000000,18000000
Factory and Manufacturer,Jawa,0,1,4400000,5000000
Asuransi,Jawa,0,1,4300000,4800000
Other,Jawa,0,1,8000000,9000000
Other,Jawa,0,1,4000000,6000000
Public Relation,Jawa,0,0,2000000,4000000
Sales,Jakarta,0,1,4600000,7800000
Sales,Kalimantan,0,0,4000000,10000000
Asuransi,Sumatera,0,0,4300000,4800000
Other,Sumatera,0,1,2000000,2800000
Factory and Manufacturer,Sumatera,0,0,500000,10000000
Education,Jawa,0,1,500000,10000000
Other,Jawa,0,1,2500000,3000000
Other,Sulawesi,0,0,5000000,15000000
Asuransi,Sumatera,0,0,2900000,3400000
"Accounting, Finance, Banking",Jawa,0,0,4700000,6700000
Sales,Jawa,0,0,3000000,3118397
Consultant,Jakarta,0,1,4000000,6000000
Sales,Sumatera,0,0,3200000,3700000
Research & Development,Sulawesi,0,1,3000000,3700000
Consultant,Jawa,0,1,5000000,30000000
Sales,Jakarta,0,0,6000000,7500000
Asuransi,Jakarta,0,1,6000000,30000000
Sales,Bali dan Nusa Tenggara,0,0,4600000,5500000
Other,Jakarta,0,1,2800000,3500000
Factory and Manufacturer,Jawa,0,0,4000000,4500000
Art & Design,Jakarta,0,1,2000000,3000000
Factory and Manufacturer,Sumatera,0,1,2500000,2557000
Consultant,Jakarta,0,1,3000000,4200000
Sales,Jakarta,0,1,6000000,8000000
Marketing,Bali dan Nusa Tenggara,0,1,10000000,30000000
Asuransi,Jawa,0,1,2650000,7000000
Sales,Bali dan Nusa Tenggara,0,0,5000000,30000000
Sales,Sulawesi,0,1,2900000,3500000
Consultant,Sumatera,0,0,3200000,4000000
Sales,Jawa,0,1,3000000,5000000
Administration,Jawa,0,0,4700000,6700000
"Accounting, Finance, Banking",Jawa,0,1,5000000,7000000
Sales,Jakarta,0,0,2000000,2800000
Other,Jawa,0,1,2000000,5000000
