Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Team Leader Desk Collection,Armatasoft,"TI, Programmer",head office - Jakarta Selatan,IDR 10.000.000 - 20.000.000,3 tahun
Head of Marketing (Pawoon),PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Field Sales Agent (Sidoarjo Area),PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 3.500.000 - 5.500.000,3 tahun
.Net Developer,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Mobile Application Developer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Kisaran - ,Gaji Kompetitif,0 tahun
Jakarta Timur Supervisor Sales   /  Sales Forced  ,Mission Consultancy Services Malaysia SDN BHD,"TI, Network Engineer",Mission Consultancy Services Malaysia Sdn Bhd (1157703-H) - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Bogor,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Bogor - Bogor,IDR 17.000.000 - 30.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI – Berau,PT Maximus Teknologi Indonesia,"TI, Network Engineer",head office - Jakarta Selatan,IDR 4.600.000 - 5.000.000,Setidaknya 1 tahun
Account Associate - Kisaran,PT Rajawali Anugrah Resources,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
IOS DEVELOPER (Opportunity Working in Kuala Lumpur),PT Alpha Accelerator (Talent Search Recruitment-Indonesia),Layanan Pelanggan,head office - Jakarta Pusat,IDR 4.600.000 - 5.000.000,0 tahun
Customer Acquisition Specialist (Bogor),PT Artha Demo Engineering Consultant,Ahli Geologi,head office - Bandung,IDR 10.000.000 - 20.000.000,3 tahun
NETWORK ENGINEER (HCIA/HCIP ACCESS CERTIFIED-POST SALES),PT Sejahtera Mitra Solusi,Kolektor,Banda Aceh - Banda Aceh,Gaji Kompetitif,0 tahun
Sales Firstmedia Jakarta,PT Sejahtera Mitra Solusi,Kolektor,Purwokerto - Banyumas,Gaji Kompetitif,0 tahun
Customer Service (Mandarin Speaker) Dubai Placement,PT Inspirasi Makmur Sejahtera,Pemasaran (Teknis),head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Staff Ahli Geologi (Ahli Kebencanaan),PT BSR Indonesia,"TI, Programmer",head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - BANDA ACEH,PT SENFIENTA PRIMA TAMA,Juru Masak,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - PURWOKERTO,PT Anugerah Graha Bersama,Bagian Umum,head office - Jakarta Pusat,Gaji Kompetitif,3 tahun
Marketing Associate / Senior Associate,Atlantic Biruraya,Penjualan dan Pemasaran,Jombang Regency - Jombang,IDR 4.500.000 - 6.000.000,2 tahun
Odoo Developer,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Batam - Batam,Gaji Kompetitif,2 tahun
Chef,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Jembrana - Prov. Bali,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
General Affair ,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Magelang - Magelang,IDR 2.500.000 - 2.800.000,Setidaknya 1 tahun
Sales TO - Jombang,PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,Setidaknya 1 tahun
Agen Perumahan,Power Vision,Konsultan,Power Vision - Jakarta Barat,IDR 5.000.000 - 7.000.000,Setidaknya 1 tahun
Marketing (Jembrana),PT Danamas Insan Kreasi Andalan (DIKA),Pemasaran Internet,Jalan Ngagel Jaya Selatan - Surabaya,IDR 6.000.000 - 10.000.000,Setidaknya 1 tahun
"Sales Officer Jateng - Magelang, Purworejo, Temanggung",PT Puriasri Bhaktikarya,"TI, Network Engineer",head office - Prov. DKI-Jakarta,IDR 2.700.000 - 5.000.000,Setidaknya 1 tahun
Sales Marketing Mini Market & Corporate Retailer,PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,IDR 10.000.000 - 18.000.000,3 tahun
SENIOR BUSINESS DEVELOPMENT,PT Home Credit Indonesia,Kolektor,Sigi - ,Gaji Kompetitif,0 tahun
Sales Executive Provider Wifi,PT Home Credit Indonesia,Kolektor,Bontang - Samarinda,Gaji Kompetitif,0 tahun
Java Developer,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Mojokerto Area - Mojokerto,Gaji Kompetitif,2 tahun
Sales Marketing PPOB,PT Micro Madani Institute,Sumber Daya Manusia,Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 4.300.000 - 5.000.000,0 tahun
Field Collection - SIGI,Armatasoft,Quality Control (QC),head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Field Collection - BONTANG/SAMARINDA,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 12.000.000 - 20.000.000,Setidaknya 1 tahun
Field Sales Agent (Mojokerto Area),PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
HR Recruitment,PT Intrias Mandiri Sejati (IMS),Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,Gaji Kompetitif,7 tahun
Senior IT Quality Assurance,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bireuen - ,IDR 4.600.000 - 4.700.000,Setidaknya 1 tahun
Mitra P2D/WOPI – Cibinong,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Tebing Tinggi - ,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Martapura,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Bekasi - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Sell Out Staff / Sales Otomotif,PT Indo Human Resource,Penjualan dan Pemasaran,Semarang - Semarang,IDR 4.600.000 - 5.000.000,Setidaknya 1 tahun
"Account Associate - Aceh (Langsa, Lhoksukon-Kreung Geukueh, Meulaboh, Lhokseumawe)",PT Sejahtera Mitra Solusi,Kolektor,TEBING TINGGI - ,Gaji Kompetitif,Setidaknya 1 tahun
Account Associate - Tebing Tinggi & Kisaran,Bisnishack Bahagia Mendunia,Tidak disebutkan,head office - Yogyakarta,Gaji Kompetitif,0 tahun
Customer Acquisition Specialist (Bekasi),PT Elabram Systems,"Teknik, Telekomunikasi",Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
Senior Marketing Staff,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Cilacap - Cilacap,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - TEBING TINGGI,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Yogyakarta - Yogyakarta,Gaji Kompetitif,2 tahun
Talent Tiktok,PT Aksa Kirana Bangun Pertiwi,"Teknik, Perangkat Lunak",head office - Jakarta Selatan,Gaji Kompetitif,5 tahun
RAN Optimization Engineer,ASABA GROUP,Penjualan dan Pemasaran,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
"Sales Officer Jateng - Cilacap, Kebumen, Majenang",PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,Setidaknya 1 tahun
Sales Officer Jateng - Yogyakarta,PT Sinergi Cipta Ananta (Baroroh Elbariah),Pengembangan Bisnis,FP One - Jakarta Pusat,IDR 5.000.000 - 7.000.000,2 tahun
Software Developer Engineer,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,JEMBER - Jember,IDR 2.000.000 - 10.000.000,2 tahun
Sales Project (B2B & B2G),PT Nusantara Duta Solusindo,"TI, Programmer",Head Office - Jakarta Barat,IDR 1.500.000 - 3.500.000,Setidaknya 1 tahun
Marketing Biller Acquisition Specialist,PT Sinergi Cipta Ananta (Baroroh Elbariah),Penjualan dan Pemasaran,FP One - Jakarta Pusat,Gaji Kompetitif,2 tahun
Marketing Development Executive (YN),PT Mitra Adi Persada,Administrasi Import,Head Office Surabaya - Surabaya,IDR 6.000.000 - 15.000.000,Setidaknya 1 tahun
SALES EXECUTIVE JEMBER,PT Anugerah Graha Bersama,"TI, Administrator",head office - Jakarta Pusat,IDR 4.500.000 - 7.000.000,2 tahun
Java Developer,PT Home Credit Indonesia,Kolektor,Konawe - ,IDR 4.000.000 - 6.000.000,5 tahun
PRU VENTURE DEVELOPMENT PROGRAM - el,Armatasoft,"TI, Programmer",head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Purchasing Merchandise SPV,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
IT Sysadmin - System Administrator Game Online 12 Jam,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
Field Collection - KONAWE,PT Intrias Mandiri Sejati (IMS),Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,Gaji Kompetitif,7 tahun
Senior IT Business Analyst,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Bandung Area - Bandung,IDR 4.400.000 - 7.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI – Cikarang,PT Sejahtera Mitra Solusi,Kolektor,SOLOK - ,IDR 3.700.000 - 4.200.000,Setidaknya 1 tahun
Mitra P2D/WOPI – Palangkaraya,PT Sejahtera Mitra Solusi,Kolektor,Tegal - Tegal,Gaji Kompetitif,Setidaknya 1 tahun
Sales Chemical ,PT Sinergi Cipta Ananta (Baroroh Elbariah),Penjualan dan Pemasaran,FP One - Jakarta Pusat,Gaji Kompetitif,0 tahun
Customer Acquisition Specialist (Bandung),PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,jambi - Jambi,IDR 15.000.000 - 30.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI - SOLOK,PT Mikatasa Agung,Penjualan (Non-Teknis),West Jakarta - Jakarta Barat,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI - TEGAL,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Pekalongan - Pekalongan,Gaji Kompetitif,3 tahun
PruVenture Management Trainee (experienced canndidate only),PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,Gaji Kompetitif,Setidaknya 1 tahun
agen perumahan,PT. Bimasakti Multi Sinergi,Pemasaran Internet,head office - Sidoarjo,IDR 5.000.000 - 7.000.000,3 tahun
Sales Retail (Jakarta),PT Recruit First Indonesia,Penjualan dan Pemasaran,Bontang - ,IDR 5.000.000 - 7.000.000,Setidaknya 1 tahun
"Sales Officer Jateng - Pekalongan, Pemalang",PT. Bimasakti Multi Sinergi,Penjualan dan Pemasaran,head office - Sidoarjo,IDR 3.226.000 - 3.226.001,Setidaknya 1 tahun
Account Executive Corporate Banking ,Armatasoft,"Teknik, Komputer",head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Digital Marketing,Armatasoft,"TI, Programmer",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Sales Executive - Bontang ,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,IDR 10.000.000 - 20.000.000,2 tahun
Acount Executive Sales Marketing PPOB H2H,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,10 tahun
Senior IT Project Manager,PT Intrias Mandiri Sejati (IMS),Pemrosesan Data,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Frontend Developer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bukittinggi - Bukittinggi,IDR 2.700.000 - 2.800.000,Setidaknya 1 tahun
Mitra P2D/WOPI – Depok,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Mojokerto Area - Mojokerto,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI – Pangkalan Bun,PT Sejahtera Mitra Solusi,Kolektor,PASAMAN - ,IDR 4.300.000 - 4.800.000,0 tahun
Internship,PT Elabram Systems,Administrasi,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Account Associate - Bukittinggi,PT Lawencon,"Teknik, Perangkat Lunak",head office - Jakarta Selatan,IDR 10.000.000 - 15.000.000,0 tahun
Customer Acquisition Specialist (Mojokerto),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Denpasar - Denpasar,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - PASAMAN,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Balikpapan - Balikpapan,Gaji Kompetitif,5 tahun
Manager Reasuransi (Treaty),PT Elabram Systems,"TI, Web Developer",head office - Jakarta Pusat,Gaji Kompetitif,3 tahun
PROJECT MANAGER,PT Sumiya Boga Lestari,Operasi Restoran,Cikarang - Cikarang,IDR 15.000.000 - 25.000.000,0 tahun
Account Officer (Hunter) - Denpasar,PT Elabram Systems,Pemrosesan Data,head office - Jakarta Pusat,IDR 2.000.000 - 4.000.000,0 tahun
Account Officer (Hunter) - Balikpapan,Atlantic Biruraya,Penjualan dan Pemasaran,Bali - Denpasar,IDR 20.000.000 - 25.000.000,5 tahun
Report Developer (Power BI),PT Danamas Insan Kreasi Andalan (DIKA),Telemarketing,Jalan Ngagel Jaya Selatan - Surabaya,Gaji Kompetitif,0 tahun
WAITRESS / COOK,PERSOLKELLY Recruitment Indonesia,Penjualan dan Pemasaran,Balikpapan - Balikpapan,IDR 2.000.000 - 3.500.000,5 tahun
Senior Analyst,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Pematangsiantar - Medan,IDR 8.000.000 - 12.000.000,Setidaknya 1 tahun
Sales Horeca - Denpasar,PT Era Mulya Citra Warna,Pemasaran (Non-Teknis),BEKASI - Bekasi,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
Telemarketing Finance,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Kupang - Kupang,Gaji Kompetitif,5 tahun
Promotion Head - Balikpapan,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Tegal - Tegal,IDR 2.000.000 - 2.400.000,Setidaknya 1 tahun
agen perumahan,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Samarinda - Samarinda,Gaji Kompetitif,Setidaknya 1 tahun
SALES EKSEKUTIF BEKASI,The Tempo Group,Operasi Gudang,PT TEMPO YOGYAKARTA - Yogyakarta,IDR 3.000.000 - 4.200.000,Setidaknya 1 tahun
Marketing (Kupang),PT Mitra Adi Persada,Operasi Ritel,Head Office Surabaya - Surabaya,IDR 2.000.000 - 2.150.000,Setidaknya 1 tahun
"Sales Officer Jateng - Tegal, Bumiayu, Ketanggungan",ASABA GROUP,Penjualan dan Pemasaran,Makassar - Makassar,Gaji Kompetitif,Setidaknya 1 tahun
"Marketing Kalimantan Timur (Balikpapan, Samarinda)",PT Intrias Mandiri Sejati (IMS),"Teknik, Perangkat Lunak",head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
PERACIK CONSUMER GOODS (GUDANG) PT. TEMPO SCAN PACIFIC - JOGJA,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Sumedang - ,IDR 4.400.000 - 6.000.000,Setidaknya 1 tahun
Sales Counter,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Rokan Hilir - ,Gaji Kompetitif,2 tahun
Sales Alat Tulis- Ambon ( Maluku ) ,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Jombang Area - Jombang,Gaji Kompetitif,Setidaknya 1 tahun
IT Operation,PT Sejahtera Mitra Solusi,Kolektor,PANGKAL PINANG - ,IDR 2.600.000 - 3.100.000,Setidaknya 1 tahun
Account Associate - Sumedang & Subang,PT Elabram Systems,"Teknik, Telekomunikasi",Prov. DKI-Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Account Associate - Rokan Hilir,PT Asuransi Reliance Indonesia,"Teknik, Komputer",PT Asuransi Reliance Indonesia - Jakarta Utara,IDR 4.400.000 - 4.600.000,0 tahun
Customer Acquisition Specialist (Jombang),Atlantic Biruraya,Penjualan dan Pemasaran,Bali - Denpasar,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - PANGKAL PINANG,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bogor - Bogor,Gaji Kompetitif,Setidaknya 1 tahun
Installer,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,bandar lampung - Jambi,Gaji Kompetitif,Setidaknya 1 tahun
IT Mobile Application Developer,PT Era Mulya Citra Warna,Pemasaran (Non-Teknis),CILACAP - Cilacap,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
Sales Kanvas - Denpasar,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Purwokerto - Purwokerto,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Cianjur,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Yogyakarta - Yogyakarta,Gaji Kompetitif,Setidaknya 1 tahun
agen perumahan,PT Srimurni Surabaya,Administrasi,head office - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
SALES EKSEKUTIF CILACAP,PT Anugerah Graha Bersama,"Akuntansi, Keuangan",head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
"Sales Officer Jateng - Purwokerto, Purbalingga",PT Recruit First Indonesia,"Teknik, Perangkat Lunak",Jakarta - Prov. DKI-Jakarta,IDR 4.000.000 - 6.000.000,0 tahun
Sales & Marketing - Yogyakarta,ASABA GROUP,Penjualan dan Pemasaran,head office - Jakarta Pusat,IDR 8.500.000 - 11.500.000,2 tahun
KASIR PUSAT,PT Intrias Mandiri Sejati (IMS),Investasi dan Keuangan,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Accounting - GAME ONLINE 12 JAM,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Jepara - Jepara,IDR 4.400.000 - 5.000.000,2 tahun
Senior Front End Developer (Supervisor),PT Sejahtera Mitra Solusi,"TI, Web Developer",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Account Manager (Jakarta),PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Surabaya Area - Prov. Jawa Timur,Gaji Kompetitif,Setidaknya 1 tahun
Desk Collection,PT Sejahtera Mitra Solusi,Kolektor,MUARA BUNGO - ,IDR 4.300.000 - 4.800.000,Setidaknya 1 tahun
Account Associate - Jepara (Karesidenan Pati),PT Recruit First Indonesia,Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
Fullstack Developer,Chang Sung Precision Indonesia,Manufaktur dan Produksi,head office - Cikarang,IDR 4.641.000 - 4.641.200,0 tahun
Customer Acquisition Specialist (Surabaya),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,bandung - Bandung,IDR 5.000.000 - 20.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI - MUARA BUNGO,PT Transpasific Finance,Penjualan dan Pemasaran,Branch Sumedang - Prov. Jawa Barat,Gaji Kompetitif,0 tahun
Beauty Consultant,PT Era Mulya Citra Warna,Pemasaran (Non-Teknis),Head Office - Bogor,IDR 4.700.000 - 6.700.000,5 tahun
RND,PT Lawencon,"Teknik, Komputer",head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Account Officer (Hunter) - Bandung,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Banjarnegara - Banjarnegara,Gaji Kompetitif,Setidaknya 1 tahun
Credit Marketing Officer (CMO) - Sumedang,Appinzpire,"Teknik, Perangkat Lunak",Head Office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
SALES EKSEKUTIF BOGOR & TANGERANG,CV AINA Indonesia,Penerjemah,head office - Jakarta Barat,Gaji Kompetitif,3 tahun
APPLICATION SUPPORT,PT Mobile Sarana Sentosa,"Teknik, Komputer",head office - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
"Sales Officer Jateng - Banjarnegara, Wonosobo",Holiday Call Centre - Cambodia,"Akuntansi, Keuangan",JAKARTA - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
Middle Back End Developer ,PT Elabram Systems,"Teknik, Telekomunikasi",Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 4.000.000 - 9.000.000,0 tahun
PENERJEMAH BAHASA KOREA,PT FAHM ARA Medika,Asisten Teknis Kesehatan,head office - Tangerang,IDR 12.000.000 - 18.000.000,Setidaknya 1 tahun
iOS Developer,PT Arion Indonesia,Akuntan Perpajakan,head office - Malang,Gaji Kompetitif,0 tahun
TELESALES CALL CENTER - Khusus WANITA,PT Intrias Mandiri Sejati (IMS),Investasi dan Keuangan,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Datacom Engineer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Banyuwangi - Banyuwangi,IDR 4.400.000 - 5.000.000,Setidaknya 1 tahun
Produk Spesialist,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Tanjung Pinang - Tanjung Pinang,Gaji Kompetitif,Setidaknya 1 tahun
STAFF ACCOUNTING DAN PAJAK,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Malang - Malang,Gaji Kompetitif,Setidaknya 1 tahun
Field Collector,PT Sejahtera Mitra Solusi,Kolektor,Sragen - Sragen,IDR 4.300.000 - 4.800.000,Setidaknya 1 tahun
Account Associate - Banyuwangi,PT Sejahtera Mitra Solusi,Kolektor,Pekalongan - Pekalongan,Gaji Kompetitif,Setidaknya 1 tahun
Account Associate - Batam & Rokan Hilir,PT Sejahtera Mitra Solusi,Kolektor,Magelang - Magelang,Gaji Kompetitif,0 tahun
Customer Acquisition Specialist (Malang),PT Sejahtera Mitra Solusi,Kolektor,Kudus - Kudus,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - SRAGEN,PT Personel Alih Daya ( PERSADA ),Kreatif / Desain,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - PEKALONGAN,PT First Indo Group,Konsultan,head office - Surabaya,IDR 8.000.000 - 9.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI - MAGELANG,Atlantic Biruraya,Penjualan dan Pemasaran,Jombang - Jombang,IDR 4.000.000 - 6.000.000,Setidaknya 1 tahun
Mitra P2D/WOPI - KUDUS,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
ANIMATOR ,PT Danamas Insan Kreasi Andalan (DIKA),Penjualan dan Pemasaran,Jalan Ngagel Jaya Selatan - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
Relationship Manager,PT Sejahtera Mitra Solusi,Penjualan dan Pemasaran,Salatiga - Salatiga,IDR 2.000.000 - 4.000.000,3 tahun
Sales Kanvas - Jombang,PT Mobile Sarana Sentosa,"TI, Web Developer",head office - Jakarta Barat,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Cikarang,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Tarakan - Tarakan,Gaji Kompetitif,Setidaknya 1 tahun
Sales Akuisisi Aplikasi Sparepart,CV Agrosari,Manajemen Merk / Produk,Agrosari (Kupang) - Kupang,Gaji Kompetitif,Setidaknya 1 tahun
"Sales Officer Jateng - Salatiga, Ungaran",PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bantul - Bantul,Gaji Kompetitif,Setidaknya 1 tahun
Java Developer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Semarang - Semarang,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Tarakan,PT Nusantara Duta Solusindo,"TI, Web Developer",Head Office - Jakarta Barat,Gaji Kompetitif,2 tahun
Koordinator Pullet & Layer,PT Recruit First Indonesia,Penjualan dan Pemasaran,Branch Office - Cikarang,Gaji Kompetitif,0 tahun
Sales & Marketing Executive - Yogyakarta,PT Anugerah Graha Bersama,"TI, Programmer",head office - Jakarta Pusat,IDR 4.600.000 - 7.800.000,Setidaknya 1 tahun
Sales : Field Officer - Semarang,PT Home Credit Indonesia,Kolektor,Banjarmasin - Banjarmasin,IDR 4.000.000 - 10.000.000,0 tahun
Junior IT Developer,PT Sakalaguna Semesta,"Akuntansi, Keuangan",Indramayu - Prov. Jawa Barat,Gaji Kompetitif,Setidaknya 1 tahun
Bancassurance Consultant ,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Probolinggo - Probolinggo,Gaji Kompetitif,2 tahun
Game Developer - GAME ONLINE 12 JAM,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Pasuruan - Pasuruan,Gaji Kompetitif,0 tahun
Field Collection - BANJARMASIN/PALANGKARAYA,PT Sejahtera Mitra Solusi,Kolektor,LUBUK LINGGAU - ,IDR 4.300.000 - 4.800.000,2 tahun
Finance Cabang (Indramayu),PT Artha Demo Engineering Consultant,Konsultan,head office - Bandung,Gaji Kompetitif,Setidaknya 1 tahun
Account Associate - Probolinggo,Cahaya Research Indonesia PT,Penerjemah,head office - Jakarta Pusat,Gaji Kompetitif,0 tahun
Customer Acquisition Specialist (Pasuruan),PT Elabram Systems,"Teknik, Jaringan",Prov. Jawa Tengah - Prov. Jawa Tengah,Gaji Kompetitif,Setidaknya 1 tahun
Mitra P2D/WOPI - LUBUK LINGGAU,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,bengkulu - Bengkulu,IDR 2.000.000 - 2.800.000,Setidaknya 1 tahun
Staff Ahli Teknik Geodesi/ Geografi,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,pekan baru - Pekanbaru,IDR 500.000 - 10.000.000,3 tahun
Korean Translator,PT Era Mulya Citra Warna,Pemasaran (Non-Teknis),PURWOKERTO - Purwokerto,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
Maintenance FTTH (Surakarta),PT Handal Guna Sarana,Makanan dan Minuman,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
agen perumahan,PT Imecon Teknindo,Penjualan dan Pemasaran,Banjarmasin - Banjarmasin,Gaji Kompetitif,Setidaknya 1 tahun
agen perumahan,PT Danamas Insan Kreasi Andalan (DIKA),Penjualan dan Pemasaran,Jalan Ngagel Jaya Selatan - Surabaya,IDR 2.500.000 - 3.000.000,Setidaknya 1 tahun
SALES EKSEKUTIF PURWOKERTO,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Kediri - Kediri,Gaji Kompetitif,0 tahun
Cook Helper - Restaurant,PT Home Credit Indonesia,Kolektor,Batam - Batam,Gaji Kompetitif,Setidaknya 1 tahun
Sales Promotion Officer,PT Elabram Systems,Penjualan dan Pemasaran,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
SPG ,ASABA GROUP,Penjualan dan Pemasaran,Makassar - Makassar,IDR 5.000.000 - 15.000.000,0 tahun
Sales & Marketing Executive - Kediri dan Sekitar,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Denpasar Area - Denpasar,Gaji Kompetitif,0 tahun
Field Collection - BATAM,PT Sejahtera Mitra Solusi,Kolektor,LAMPUNG - Prov. Lampung,IDR 2.900.000 - 3.400.000,5 tahun
Marketing Eksekutif (Sukabumi-based),PT Sejahtera Mitra Solusi,Kolektor,Klaten - Klaten,Gaji Kompetitif,2 tahun
