Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Security,PT Asuransi Ramayana Tbk,Satuan Pengamanan,PT Asuransi Ramayana Tbk - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Security,PT Espresso Italia,Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
JUNIOR SALES ,Confidential Company,Bagian Umum,head office - Prov. DKI-Jakarta,IDR 4.500.000 - 5.000.000,Setidaknya 1 tahun
HR & GA,PT Multi Daya Ananta,Administrasi,head office - Surabaya,IDR 4.500.000 - 5.000.000,Setidaknya 1 tahun
Staff Administrasi,PT Sejahtera Mitra Solusi,Kolektor,Adira Finance - Yogyakarta,IDR 4.000.000 - 6.000.000,0 tahun
MITRA COLLECTION DURABLE - KEDIRI,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Tomohon - Prov. Sulawesi Utara,Gaji Kompetitif,Setidaknya 1 tahun
Marketing (Tomohon),Holiday Call Centre - Cambodia,Layanan Pelanggan,head office - Prov. Apa saja,IDR 3.000.000 - 3.500.000,Setidaknya 1 tahun
TELEMARKETING  ( Khusus WANITA ),Holiday Call Centre - Cambodia,Layanan Pelanggan,"2 Thnou St, Krong Preah Sihanouk, Cambodia - Prov. Apa saja",IDR 4.000.000 - 8.000.000,Setidaknya 1 tahun
TEMARKETING CALL CENTER   ( Khusus WANITA ),Holiday Call Centre - Cambodia,Layanan Pelanggan,head office - Prov. Apa saja,IDR 4.000.000 - 8.000.000,0 tahun
SALES CUSTOMER RELATION ( Khusus WANITA ),Holiday Call Centre - Cambodia,Layanan Pelanggan,"2 Thnou St, Preah Sihanouk, Cambodia - Prov. Apa saja",IDR 4.000.000 - 8.000.000,Setidaknya 1 tahun
SALES - CUSTOMER SUPPORT  ( Khusus WANITA ),PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Blitar - Blitar,IDR 4.000.000 - 8.000.000,Setidaknya 1 tahun
SPV agen Blitar,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bandar Lampung - Bandarlampung,IDR 2.000.000 - 3.500.000,Setidaknya 1 tahun
Account Officer (Hunter) - Lampung,PT Techno Prefab Indonesia,Administrasi,head office - Cikarang,Gaji Kompetitif,Setidaknya 1 tahun
Admin Delivery,Power Vision,Pemasaran (Non-Teknis),Power Vision - Jakarta Barat,Gaji Kompetitif,Setidaknya 1 tahun
ASSOCIATE & SENIOR ASSOCIATE,PT Artha Kreasi Utama,Pemasaran Internet,Depok - Depok,IDR 6.000.000 - 10.000.000,3 tahun
Sales Gadget Specialist Smartfren,PT Garuda Daya Pratama Sejahtera,Penerjemah,head office - Tangerang,IDR 3.440.000 - 4.300.000,0 tahun
Translator Mandarin,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Cirebon - Cirebon,Gaji Kompetitif,Setidaknya 1 tahun
Marketing (Cirebon),PT Recruit First Indonesia,Penjualan dan Pemasaran,Sanggau - ,IDR 2.200.000 - 2.500.000,Setidaknya 1 tahun
Sales Executive (Samsung),PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Karawang - Karawang,Gaji Kompetitif,Setidaknya 1 tahun
Sales Akuisisi,PT Bahtera Pesat Lintasbuana,Pemasaran (Non-Teknis)," kabupaten kuningan, jawa barat - ",IDR 3.000.000 - 4.500.000,Setidaknya 1 tahun
spv agen kuningan jawa barat,PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Medan - Medan,IDR 1.900.000 - 3.000.000,Setidaknya 1 tahun
Sales Perumahan,PT Asuransi Ramayana Tbk,Pekerjaan Umum,PT Asuransi Ramayana Tbk - Prov. DKI-Jakarta,IDR 500.000 - 10.000.000,Setidaknya 1 tahun
Supir Mobil Derek,Holiday Call Centre - Cambodia,Layanan Pelanggan,head office - Prov. Apa saja,Gaji Kompetitif,Setidaknya 1 tahun
TELESALES CALL CENTER - Khusus WANITA,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,Branch Office Pontianak - Pontianak,IDR 4.000.000 - 7.000.000,Setidaknya 1 tahun
Marketing (Area Kalimantan),PT Lawsim Zecha,Penjualan dan Pemasaran,head office - Jakarta Timur,IDR 2.600.000 - 3.500.000,Setidaknya 1 tahun
Sales Bahan Baku Food,PT Bussan Auto Finance,Kredit / Pinjaman,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
SME (Small and Medium Enterprises) Strategic Planning Assistant Manager,PT Tabitha Express,"TI, Network Engineer"," Jakarta ,head office - Jakarta Utara",Gaji Kompetitif,3 tahun
IT MANAGER ,PT Intrias Mandiri Sejati (IMS),Administrasi,head office - Prov. DKI-Jakarta,IDR 7.000.000 - 12.000.000,5 tahun
Retail Budget Admin,Yayasan Tadika Puri,Manajer Portofolio,head office - Jakarta Selatan,IDR 5.000.000 - 7.000.000,Setidaknya 1 tahun
Manager Gudang,PT Bangun Sumberdaya Mandiri,Penjualan dan Pemasaran,Samarinda - Samarinda,Gaji Kompetitif,3 tahun
SPG Hijab,PT K&D Electronics Indonesia,Manajemen Merk / Produk,head office - Bekasi,IDR 3.137.675 - 5.000.000,Setidaknya 1 tahun
 PRODUCTION ENGINEERING,PT Berkat Sempurna Rahmat,Penjualan (Teknis),head office - Jakarta Barat,Gaji Kompetitif,0 tahun
Sales,PT Anugerah Graha Bersama,Pemasaran Internet,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
TELEMARKETING,PT Danamas Insan Kreasi Andalan (DIKA),Telemarketing,Jalan Ngagel Jaya Selatan - Surabaya,IDR 5.000.000 - 6.200.000,0 tahun
Telemarketing Finance,PT Daya Eka Samudera Jakarta,Akuntan Perpajakan,head office - Jakarta Barat,IDR 2.800.000 - 3.000.000,Setidaknya 1 tahun
Accounting and Tax (Kabag),PT. Surya Timur Sakti Jatim,"Akuntansi, Keuangan",PT. Surya Timur Sakti Jatim - Surabaya,Gaji Kompetitif,Setidaknya 1 tahun
STAFF ADMIN ,PT Pradha Karya Perkasa,"Pelatih, Pendidik",head office - Mojokerto,IDR 4.000.000 - 4.500.000,Setidaknya 1 tahun
Staf PR & Training Development,PT Daya Eka Samudera Jakarta,Administrasi,head office - Jakarta Barat,IDR 4.200.000 - 4.250.000,Setidaknya 1 tahun
Pengurus Trucking,Nextlabs (Malaysia) Sdn Bhd,"Teknik, Perangkat Lunak",head office - Di luar Indonesia,Gaji Kompetitif,Setidaknya 1 tahun
Software Engineer,PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
TELKOM JAKARTA TIMUR LEADER SALES /SALES,Armatasoft,"TI, Programmer",head office - Jakarta Selatan,IDR 3.500.000 - 5.500.000,0 tahun
Golang Developer,PT Mitra Adi Persada,Hukum / Korporasi,Head Office Surabaya - Surabaya,Gaji Kompetitif,2 tahun
Staff Legal & Perijinan,PT Srimurni Surabaya,Administrasi,head office - Surabaya,Gaji Kompetitif,2 tahun
ADMIN STOCK,PT Sejahtera Mitra Solusi,"Keuangan, Analis",head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Mitra P2D/WOPI – Tangerang,PT Rajawali Anugrah Resources,Pemasaran Internet,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
SUPERVISOR & TEAM LEADER SALES TELKOM TANGERANG ,PT Tabitha Express,Penjualan dan Pemasaran,Surabaya  - Surabaya,IDR 4.500.000 - 7.000.000,Setidaknya 1 tahun
MARKETING EKPEDISI SURABAYA ,Harapan Bangsa Balikpapan,Guru / Tutor,head office - Prov. Kalimantan Timur,IDR 4.000.000 - 5.500.000,3 tahun
English Teachers,PT Intercipta Jasa Indonesia,"Akuntansi, Keuangan",PT. INTERCIPTA JASA INDONESIA - Jakarta Barat,Gaji Kompetitif,2 tahun
STAFF ACCOUNTING,PT Catur Adhi Manunggal,Sekretaris,head office - Semarang,IDR 6.000.000 - 6.500.000,3 tahun
Secretary / Personal Assistant,Maxon Prime Technology,Operator,head office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
OPERATOR CNC,PT Adiwisista Finansial Teknologi,"Akuntansi, Keuangan",Head Office - Jakarta Selatan,IDR 4.000.000 - 5.000.000,2 tahun
Finance & Accounting Supervisor,PT Sumaco Wahana Utama,Pemasaran (Teknis),head office - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
MARKETING PROMOSI & SOSIAL MEDIA,PT Sinergi Performa Cipta,Administrasi,Semarang - Semarang,Gaji Kompetitif,0 tahun
Administration Support Coordinator - Semarang,PT Personel Alih Daya ( PERSADA ),Layanan Pelanggan,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Agent Live Chat,PT Valbury Asia Futures,Penjualan dan Pemasaran,Menara Karya - Jakarta Selatan,IDR 4.500.000 - 5.000.000,2 tahun
Sales Person,PT Imecon Teknindo,Komunikasi,Head Office - Jakarta Selatan,IDR 2.500.000 - 5.000.000,Setidaknya 1 tahun
PATIENT SERVICE,PT Merak Magnesiumindo Industri,Penerjemah,PT. MERAK MAGNESIUMINDO INDUSTRI - Jakarta Utara,IDR 4.000.000 - 4.400.000,Setidaknya 1 tahun
SALES / MARKETING,PT Mitradeka Mandiri,"Akuntansi, Keuangan",Cabang Soreang - Bandung,IDR 3.500.000 - 6.000.000,2 tahun
Admin Finance,PT Intrias Mandiri Sejati (IMS),Hubungan Masyarakat,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Outbound Retention Call,PT Hoco Asia Industry,Pembelian / Purchasing,head office - Jakarta Barat,IDR 4.400.000 - 5.000.000,Setidaknya 1 tahun
Purchasing,CV Mekar Jaya,Manajemen Merk / Produk,head office - Bandung,IDR 6.500.000 - 8.000.000,2 tahun
Assistant Brand Manager,PT Sejahtera Mitra Solusi,"Keuangan, Analis",Banjarmasin - Banjarmasin,Gaji Kompetitif,2 tahun
Mitra P2D/WOPI – Banjarmasin,PT Kirana Mitraabadi,Manufaktur dan Produksi,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Tim Leader Produksi,PT Mustika Land Development ,Administrasi,head office - Jakarta Pusat,Gaji Kompetitif,2 tahun
Customer Manager,PT Sinergi Cipta Ananta (Baroroh Elbariah),Pemasaran (Non-Teknis),FP One - Jakarta Pusat,Gaji Kompetitif,2 tahun
Senior Business Development Marketing - el,PT Tabitha Express,Administrasi Export," Jakarta ,head office - Jakarta Utara",IDR 6.000.000 - 15.000.000,5 tahun
CUSTOMER SERVICE BAHASA MANDARIN,PT Nusantara Duta Solusindo,"TI, Network Engineer",Head Office - Jakarta Barat,IDR 4.000.000 - 6.000.000,3 tahun
ETL Developer,PT Bolde Indonesia,Periklanan / Promosi,Banjarmasin - Banjarmasin,Gaji Kompetitif,3 tahun
Crew Store Banjarmasin,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Pekanbaru - Pekanbaru,Gaji Kompetitif,Setidaknya 1 tahun
TL HUNTER - PEKANBARU,PT Bussan Auto Finance,Pengembangan Bisnis,Sulawesi Utara (Manado) - Manado,Gaji Kompetitif,0 tahun
Area Marketing Manager Dana Tunai,Sumber Daya Menamas Prime Resources,Administrasi,head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
Admin MBS - Rawa Buaya Jakarta Barat,PT. Bimasakti Multi Sinergi,"TI, Programmer",head office - Sidoarjo,IDR 4.500.000 - 4.600.000,Setidaknya 1 tahun
Backend Quality Assurance ,PT Imecon Teknindo,Administrasi,Jakarta Selatan  - Jakarta Selatan,IDR 5.000.000 - 6.500.000,Setidaknya 1 tahun
Admin Exim,PT. Tata Karya Gemilang,Administrasi,head office - Yogyakarta,IDR 4.000.000 - 7.000.000,Setidaknya 1 tahun
General Admin,Solusi Kemasan UMKM PT,"Akuntansi, Keuangan",head office - Jakarta Barat,IDR 2.800.000 - 3.000.000,2 tahun
Accounting,PT Higienis Indonesia,Sumber Daya Manusia,head office - Jakarta Selatan,IDR 4.500.000 - 5.000.000,2 tahun
Recruitment Manager,PT Kartikawira Adisukses,Penjualan dan Pemasaran,head office - Jakarta Pusat,Gaji Kompetitif,10 tahun
Sales Horeka & Modern Market,Bali Hai Brewing Co,Logistik,head office - Jakarta Utara,Gaji Kompetitif,2 tahun
Staff Gudang BEST Kediri,PT Imecon Teknindo,Administrasi,Jakarta Selatan  - Jakarta Selatan,IDR 1.750.000 - 2.100.000,Setidaknya 1 tahun
ADMINISTRASI STAFF,PT Markija Berdaya Bersama,Manajer Portofolio,head office - Jakarta Selatan,IDR 4.000.000 - 4.400.000,Setidaknya 1 tahun
Value Added Tax (VAT) Compliance Manager,PT Quorum Pacific,"TI, Web Developer",head office - Tangerang,Gaji Kompetitif,4 tahun
Web Developer,PT Oscar Mas,Manajemen Merk / Produk,PT. OSCAR MAS - Bekasi,Gaji Kompetitif,0 tahun
Deputy Manager Inventory and Warehouse,PT Sahabat Abadi Sejahtera,Komunikasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,5 tahun
Sales Representative,PT Sinergi Cipta Ananta (Baroroh Elbariah),Pengembangan Bisnis,FP One - Jakarta Pusat,Gaji Kompetitif,0 tahun
Sales & Marketing Business Development,PT Personel Alih Daya ( PERSADA ),Penjualan dan Pemasaran,head office - Jakarta Selatan,IDR 6.000.000 - 30.000.000,3 tahun
Sales Associate,PT Sinergi Performa Cipta,Administrasi,Pekanbaru - Pekanbaru,IDR 4.200.000 - 4.600.000,Setidaknya 1 tahun
Data Entry & Collection Support Coordinator - Pekanbaru (20964),PT Samyang Indonesia,Investasi dan Keuangan,head office - Jakarta Utara,Gaji Kompetitif,0 tahun
Manajemen Risiko,PT Grita Artha Kreamindo,Administrasi,PT. Grita Artha Kreamindo - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
MARKETING ADMINISTRATION,PT. Surya Timur Sakti Jatim,Hubungan Masyarakat,PT. Amitha Adikara Kosmetika - Surabaya,Gaji Kompetitif,0 tahun
SPV PR & MARCOMM (BEAUTY & CARE),ASABA GROUP,Penjualan dan Pemasaran,Makassar - Makassar,IDR 4.500.000 - 6.000.000,2 tahun
Sales Executive (Makassar),PT Recruit First Indonesia,Penjualan (Non-Teknis),Jateng - Prov. Jawa Tengah,Gaji Kompetitif,2 tahun
Sales Promotor - Madiun,PT Sinergi Performa Cipta,Layanan Pelanggan,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,0 tahun
Customer Service - Jakarta Selatan,PT Elabram Systems,Teknisi,Lampung - Bandarlampung,Gaji Kompetitif,0 tahun
Teknisi Maintenance FTTH (Lampung),Confidential Company,"Akuntansi, Keuangan",head office - Jakarta Timur,IDR 2.700.000 - 3.300.000,Setidaknya 1 tahun
Operation Controller,A Big Group of Companies,Penjualan dan Pemasaran,PT. Brataco Chemika - Solo - Surakarta,Gaji Kompetitif,Setidaknya 1 tahun
Kepala Depo - Solo,PT Kredit Pintar Indonesia,Penjualan dan Pemasaran,Jakarta Head Office - Jakarta Selatan,Gaji Kompetitif,5 tahun
