Job_Title,City,Yrs_of_Exp,Salary
Accounting Staff,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 7.500.000
Account Manager,Jakarta, 1 – 3 tahun,
Graphic Designer,"Kuningan, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 10.000.000
Staff Finance Account Receivable,Jakarta, 1 – 3 tahun, IDR 7.000.000
ADMIN,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Human Resources (HRD),"Antasari, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Social Media Specialist,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Packer,"Cengkareng, Jakarta", Kurang dari setahun, IDR 4.000.000 - 5.500.000
Content Creator,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Office-Boy,"Kalideres, Jakarta", Kurang dari setahun, IDR 4.500.000 - 6.000.000
Admin Support,"Kramat Jati, Jakarta", 1 – 3 tahun, IDR 2.500.000 - 3.500.000
 Intern HR (Paid Internship),"Kebayoran Baru, Jakarta", 1 – 3 tahun,
Audit Staff,"Kebayoran Baru, Jakarta", Kurang dari setahun,
Content Creator Intern,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
HR-GA Leader | Junior Manager,"Kembangan, Jakarta", Kurang dari setahun, IDR 1.500.000 - 2.000.000
Warehouse and Packing Staff,Yogyakarta, 1 – 3 tahun, IDR 4.000.000 - 8.000.000
Teller / Customer Service Perbankan,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Supply Chain Management (SCM) Staff,"Tanah Abang, Jakarta",, IDR 4.500.000 - 4.700.000
Customer Service Online,,,
freelance article writer,"Cengkareng, Jakarta", Kurang dari setahun, IDR 4.600.000 - 5.000.000
Fullstack Developer,Bekasi, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Account Manager Enterprise,Yogyakarta, Kurang dari setahun,
Personal Assistant,"Kebon Jeruk, Jakarta", Kurang dari setahun, IDR 6.000.000 - 9.000.000
Virtual Event Operations Intern ,"Pasar Minggu, Jakarta", 3 – 5 tahun, IDR 12.000.000 - 20.000.000
Warehouse Staff,"Antasari, Jakarta", 3 – 5 tahun, IDR 4.000.000 - 5.000.000
Staff Administrasi,Jakarta, Kurang dari setahun, IDR 3.000.000 - 4.500.000
Intern HR,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Secretary,"Kelapa Gading, Jakarta", Kurang dari setahun, IDR 4.600.000 - 5.500.000
Sales Admin,Jakarta, Kurang dari setahun,
Admin Produksi,Jakarta, Kurang dari setahun,
Accounting Intern,Jakarta, Kurang dari setahun,
Junior Graphic Designer,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Supervisor Produksi,"Gambir, Jakarta", Kurang dari setahun, IDR 2.000.000 - 2.600.000
Freelance Operations [Makassar],Jakarta, Kurang dari setahun, IDR 5.000.000 - 6.500.000
Human Resource & General Affair,Bandung, Kurang dari setahun, IDR 3.750.000 - 4.500.000
SENIOR FINANCE,Makassar,,
HR & GA Staff,, 1 – 3 tahun, IDR 5.500.000 - 7.000.000
Sales Support ,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 7.500.000
Customer Service Specialist,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 3.000.000
Human Resources Intern,Yogyakarta, Kurang dari setahun, IDR 4.700.000 - 5.000.000
Product Management Intern,"Kebon Jeruk, Jakarta", 1 – 3 tahun,
Photographer,Jakarta,,
Learning and Development Officer,Jakarta, Kurang dari setahun, IDR 500.000 - 3.500.000
Crew Outlet Petak Enam (Jakarta),, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Marketing Internship,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.500.000
Marketing Staff,Jakarta, Kurang dari setahun, IDR 3.000.000 - 3.800.000
HR GA,Jakarta, Kurang dari setahun, IDR 3.000.000 - 5.000.000
Social Media Specialist,"Taman Sari, Jakarta", 1 – 3 tahun, IDR 4.700.000 - 6.000.000
REMOTE LARAVEL DEVELOPER,Jakarta, Kurang dari setahun,
OPERATION ADMIN STAFF,"Sunter, Jakarta", 1 – 3 tahun, IDR 4.375.479 - 5.000.000
UI/UX Designer,"Sawah Besar, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 5.000.000
SENIOR ACCOUNTING AND FINANCE,Surabaya, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Content Writer,Yogyakarta, 1 – 3 tahun, IDR 8.000.000 - 10.000.000
Administration Office,"Kebon Jeruk, Jakarta", 3 – 5 tahun, IDR 8.000.000 - 9.500.000
Host Live Streaming,Jakarta, 1 – 3 tahun,
Creative Video Editor,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.500.000
INTERNSHIP CUSTOMER SERVICE  (CS),Jakarta, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
Accounting Officer,"Gambir, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 7.000.000
HR Recruiter,"Cempaka Putih, Jakarta", Kurang dari setahun,
Photographer,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
General Affair Staff,"Senayan, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.200.000
Crew Outlet Summarecon Mall Bekasi,Jakarta, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Design Graphic,Malang, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Brand Analyst Intern,Jakarta, Kurang dari setahun, IDR 3.000.000 - 3.800.000
TAX STAFF,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Admin Marketplace,Bekasi,, IDR 1.500.000 - 3.000.000
HR Recruitment,"Tanah Abang, Jakarta",,
Finance Account Receivable Staff,Surabaya, 1 – 3 tahun, IDR 3.500.000 - 35.000.100
GEC Affiliate Partner (Remote Freelance),, 1 – 3 tahun, IDR 2.500.000 - 4.000.000
Sosial Media Strategist,Surabaya, 1 – 3 tahun,
Finance/Accounting Admin,Bandung, 1 – 3 tahun,
OUTBOUND CALLL CENTER,Jakarta, Kurang dari setahun,
Video Editor,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Junior Graphic Designer,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
SEKRETARIS,Bandung, Kurang dari setahun, IDR 4.500.000 - 6.000.000
Kepala Shift Produksi,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
External Relation Staff,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 5.000.000
E-commerce Marketplace Specialist Staff,"Palmerah, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
UI/UX Designer,"Tebet, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.000.000
ACCOUNTING STAFF,Jakarta, Kurang dari setahun,
Creative Social Media Marketing,Tangerang, 1 – 3 tahun,
Team Leader Shipment Cabang,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Graphic Designer,Bekasi, 1 – 3 tahun,
HR Admin,"Cilandak, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 8.000.000
UI/UX Designer,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Accounting ,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
HRD Staff Intern,Jakarta, 1 – 3 tahun,
Finance and Legal Internship,"Senopati, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
HUMAN RESOURCE,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
Customer Service Officer,Jakarta, Kurang dari setahun, IDR 1.500.000 - 2.000.000
HUMAN RESOURCES AND RECRUITMENT INTERN,"Kalideres, Jakarta", Kurang dari setahun, IDR 500.000 - 1.000.000
System Analyst Intern,"Kembangan, Jakarta", Kurang dari setahun,
Business Operations,Jakarta,, IDR 4.300.000 - 5.000.000
Content Marketing Associate (remote),Yogyakarta,,
Marketing Strategy Intern,Bekasi, Kurang dari setahun, IDR 500.000
Business Development,, Kurang dari setahun, IDR 2.000.000 - 4.000.000
UI/UX Designer,Jakarta, Kurang dari setahun, IDR 4.500.000 - 5.000.000
Event Management,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
VISUAL MERCHANDISER,Jakarta, Kurang dari setahun, IDR 500.000 - 3.500.000
Customer Service,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Graphic Designer,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Magang Legal,Jakarta, 3 – 5 tahun, IDR 4.000.000 - 7.000.000
Social Media Officer / Planner (Freelance Remote),Jakarta, 3 – 5 tahun, IDR 6.000.000 - 9.000.000
Social Media Intern,Bandung, 3 – 5 tahun, IDR 4.000.000 - 4.500.000
Content Writer,"Cakung, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Ahli Gizi,Tangerang,,
Tax Officer,"Kebayoran Lama, Jakarta", Kurang dari setahun,
General Affair Staff,"Sunter, Jakarta", Kurang dari setahun, IDR 3.000.000 - 4.000.000
Recruiter,, 1 – 3 tahun, IDR 2.800.000 - 3.000.000
SOCIAL MEDIA & CONTENT INTERN,Bandung, Kurang dari setahun,
Staff Admin,"Kemayoran, Jakarta", Kurang dari setahun,
Staff Account Payable,Semarang, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Business Development Officer ,Tangerang, 1 – 3 tahun,
HRD Officer/ People Operations,Jakarta, Kurang dari setahun, IDR 0 - 500.000
Event Logistic Officer,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 2.500.000
HEALTHCARE ADMINISTRATOR,Jakarta, Kurang dari setahun,
Warehouse - Helper,"Kebayoran Baru, Jakarta", Kurang dari setahun,Login to view estimated salary by Glints.
Transportation Staff,Bandung, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Data Engineer,"Cilandak, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Sales Officer Horeca,"Kembangan, Jakarta", 1 – 3 tahun, IDR 4.200.000 - 4.500.000
Admin Logistic,Jakarta, 1 – 3 tahun, IDR 1.500.000 - 2.500.000
Operasional Expor Import Staff ,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.600.000
Graphic Designer,Jakarta, 1 – 3 tahun, IDR 10.000.000 - 22.000.000
Human Capital Officer,"Pademangan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Creative / Social Media Intern,Jakarta, 1 – 3 tahun,
Global Management Trainee,"Kuningan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Human Resources Staff,Jakarta, 3 – 5 tahun,
Staff Finance/Accounting-Tangerang Selatan,"Penjaringan, Jakarta", Kurang dari setahun,
LOGISTIC WEREHOUSE,"Sunter, Jakarta",, IDR 1.500.000 - 2.000.000
General Affair,Jakarta,,
Manager Operational Bordir,Bogor, Kurang dari setahun,
LIVE STREAMER TIKTOK AND CREATOR,Jakarta, 1 – 3 tahun,
Marketing Manager,, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
UI/UX Design Intern,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
HR Admin,Tangerang, 1 – 3 tahun,
Social Media Officer,Tangerang, 3 – 5 tahun, IDR 6.000.000 - 7.000.000
Cart Technician,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.500.000
"Finance, Accounting, & Tax Officer","Grogol Petamburan, Jakarta", 3 – 5 tahun, IDR 15.000.000 - 25.000.000
GRAPHIC DESIGNER,"Tambora, Jakarta", Kurang dari setahun, IDR 2.000.000 - 3.000.000
CLIENT REPRESENTATIVE (Junior) ,"Pademangan, Jakarta", Kurang dari setahun,
Videographer,"Gambir, Jakarta", 1 – 3 tahun,
Karyawan Gudang,"Tebet, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Property Consultant (Tangerang Area),Jakarta, 1 – 3 tahun,
REPORTER,Bekasi, Kurang dari setahun, IDR 3.500.000 - 4.500.000
HR Recruitment,"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Account Executive,"Cilandak, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Accounting Staff,"Cengkareng, Jakarta", 1 – 3 tahun,
TREVO ID - Business Development & Partnership Intern,Jakarta, Kurang dari setahun, IDR 3.000.000 - 5.000.000
Online English Tutor/ESL ( remote work from home ),"Mampang Prapatan, Jakarta", 1 – 3 tahun,
Call Center Agent-Aftersales Service,Bandung, 1 – 3 tahun,
Staf IT,Tangerang, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
E-commerce and Marketplace Associate,"Menteng, Jakarta", 1 – 3 tahun,
Procurement Staff,Yogyakarta, Kurang dari setahun,
Sales Representative (Remote),Jakarta,, USD 550 - 1.000
