Job_Title,City,Yrs_of_Exp,Salary
Data Engineer,Bandung, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
QA Automation Engineer,"Palmerah, Jakarta", 3 – 5 tahun, SGD 800 - 1.000
Backend Developer,"Setiabudi, Jakarta", 3 – 5 tahun, IDR 20.000.000 - 35.000.000
Data Engineer,Batam, 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Scrum Master,"Kemang, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Mobile App Developer (Full Time),Jakarta, 3 – 5 tahun, IDR 9.639.293 - 12.609.507
PHP Programmer,Cikarang, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
Account Services [INTERN],Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Account Executive,Tangerang, 5 – 10 tahun, IDR 18.000.000 - 23.000.000
Teknisi Barang Elektronik - Cirebon,Jakarta, 5 – 10 tahun, SGD 1.000 - 1.800
ADMIN FINANCE,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Java Developer,Parigi, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Fullstack Developer,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 9.000.000
SALES EXECUTIVE SURABAYA,Yogyakarta, Kurang dari setahun, IDR 8.000.000 - 13.000.000
WordPress Developer ,Jakarta, 5 – 10 tahun, SGD 1.500 - 2.500
UX Designer Designer (Remote),, 1 – 3 tahun, IDR 8.000.000 - 10.000.000
Social Media Specialist/Strategist,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 10.000.000
Sales Telemarketing,Yogyakarta, 5 – 10 tahun, IDR 15.000.000 - 20.000.000
Senior Developer,"Menteng, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.500.000
Content Creator - Videographer,Jakarta, Kurang dari setahun, IDR 1.000.000 - 1.200.000
Senior Account Executive (Chinese),"Pulo Gadung, Jakarta", 1 – 3 tahun, IDR 8.000.000 - 9.000.000
Content Creator,Batam, 1 – 3 tahun,
Magang Team Marketing,Depok,,
FINANCE ACCOUNTING STAFF,Jakarta, 3 – 5 tahun, IDR 9.000.000 - 100.000.000
MARKETING & Sales,Jakarta, 1 – 3 tahun, IDR 10.000.000 - 20.000.000
Sales Executive - Project ,Jakarta, 5 – 10 tahun, IDR 15.000.000 - 20.000.000
Database Developer,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Lead Frontend Engineer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Mid-Senior Fullstack Engineer,Tangerang, 3 – 5 tahun,
Customer Relation Officer,Medan, 1 – 3 tahun, SGD 1.000 - 1.200
Oracle Database Administrator,Jakarta, 1 – 3 tahun, IDR 5.000.000
Fullstack Developer,Tangerang, 1 – 3 tahun, SGD 1.000 - 1.200
HRGA Mandarin Speaker,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 7.000.000
Java Developer,"Kuningan, Jakarta", 5 – 10 tahun, IDR 15.000.000 - 25.000.000
Procurement/Purchasing Executive (Remote),Jakarta, 3 – 5 tahun, SGD 1.000 - 1.800
SEO Content Writer,Jakarta, 3 – 5 tahun, IDR 3.500.000
Business Development,Batam, 3 – 5 tahun, IDR 10.000.000 - 17.000.000
KOL Specialist,Jakarta, Kurang dari setahun,
Graphic Designer,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Purchasing Manager,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 7.000.100
Quality Control Inspector,Jakarta, 1 – 3 tahun, SGD 800 - 1.500
BRAND EXECUTIVE,Bandung,, IDR 5.000.000
Junior Network-IT Engineer,Sidoarjo,,
Fullstack Mobile Developer,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 13.000.000
Software Engineer ,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Senior Blockchain Developer / CTO,Semarang, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Senior Blockchain Developer / CTO,Jakarta, 5 – 10 tahun, IDR 15.000.000 - 20.000.000
Senior Blockchain Developer / CTO,Malang, 3 – 5 tahun,Login to view estimated salary by Glints.
Head of Product Design ,Denpasar, 1 – 3 tahun,Login to view estimated salary by Glints.
Marketing Developer,"Kemang, Jakarta", 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Sales Officer,Tangerang, 5 – 10 tahun, IDR 20.000.000 - 20.000.000
Project Management Office,Jakarta, Kurang dari setahun, IDR 2.000.000
QA Engineer,"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.500.000
SPARK 05,Tangerang, 1 – 3 tahun,
part time cs,Depok, 1 – 3 tahun, IDR 7.000.000 - 10.000.000
IT Project Manager,Abang, 1 – 3 tahun, IDR 7.000.000 - 10.000.000
Full Stack Web Developer,Jakarta, 1 – 3 tahun, IDR 7 - 18.000.000
Marine Superintendent (Shipping),Jakarta, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Senior Backend Developer,Jakarta, 3 – 5 tahun, SGD 500 - 2.500
Head of Digital Marketing,Tangerang, 5 – 10 tahun, SGD 1.000 - 1.300
Assembly Manager,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 15.000.000 - 20.000.000
Purchasing Supervisor,"Setiabudi, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Senior Frontend Developer ,Solo, 1 – 3 tahun, IDR 8.000.000 - 8.000.000
Human Capital Volunteer (Paid Program),Bandung, Kurang dari setahun, IDR 1.500.000
Fullstack Developer (572),"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 9.000.000 - 10.000.000
AREA MANAGER MARKETING FARMASI NASIONAL,, 1 – 3 tahun, IDR 2.100.000 - 2.200.000
Sales Manager,"Tanah Abang, Jakarta", Kurang dari setahun,
Business Support,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Graphic Designer,Depok, 1 – 3 tahun, IDR 7.000.000 - 12.000.000
telemarketing,Medan, 1 – 3 tahun, IDR 4.300.000 - 5.500.000
UI/UX Internship,Tangerang, 3 – 5 tahun, SGD 1.000 - 1.700
Marketing Intern,"Penjaringan, Jakarta", 3 – 5 tahun, SGD 1.000 - 1.700
Sales Manager,Yogyakarta, 3 – 5 tahun, IDR 6.000.000 - 9.000.000
Technical Writer,Jakarta, 1 – 3 tahun, IDR 4.200.000 - 6.000.000
UI / UX Designer,Jakarta, 3 – 5 tahun, SGD 1.000 - 1.600
Social Media Admin Staff,Semarang, Kurang dari setahun, IDR 2.500.000 - 4.000.000
Senior Graphic Designer & Digital Marketing,Jakarta, 3 – 5 tahun, IDR 12.000.000 - 15.000.000
iOS Developer (Remote),Jakarta, 3 – 5 tahun, IDR 3.000.000 - 5.000.000
QA Tester Engineer,Medan, Kurang dari setahun,
Localization Tester,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
IT Project Administrator ,Bogor, 1 – 3 tahun, IDR 1.000.000 - 3.000.000
Creative Marketing Director,Tangerang, 3 – 5 tahun,Login to view estimated salary by Glints.
SUPERVISIOR OPERATION LOGISTIC,"Duren Sawit, Jakarta", 3 – 5 tahun, IDR 10.000.000 - 20.000.000
Accounting/Admin Assistant,Batam, 3 – 5 tahun, IDR 13.000.000 - 16.000.000
Customer Service Online,Medan, 3 – 5 tahun, IDR 10.000.000 - 25.000.000
Admin HRD Surabaya,, 1 – 3 tahun, IDR 3.200.000
Admin Finance Project,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 25.000.000
Administrator,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Sales Executive,Sidoarjo, 3 – 5 tahun, IDR 10.000.000 - 13.000.000
Onsite Engineer CCNA,Tangerang, 3 – 5 tahun, IDR 10.000.000 - 20.000.000
Business Analyst,Jakarta, 3 – 5 tahun, SGD 800 - 1.300
Business Development Admin,Jakarta, 1 – 3 tahun,
Senior Brand Designer,Jakarta, 1 – 3 tahun,
Wordpress Developer,Jakarta, 3 – 5 tahun, IDR 4.500.000 - 5.500.000
Account Executive,Jakarta, 3 – 5 tahun, SGD 900 - 1.200
Marketing Supervisor,Bandung, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Creative Design and Video Editor,Jakarta, 1 – 3 tahun,
Supervisor Restaurant,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Back End Developer,Jakarta, Kurang dari setahun,
WAREHOUSE COORDINATOR (COLD CHAIN),Jakarta, 5 – 10 tahun, SGD 1.000 - 2.000
Mobile Programmer ,Denpasar, 3 – 5 tahun, IDR 5.000.000 - 15.000.000
admin product,Tangerang, 5 – 10 tahun, USD 4.000 - 8.000
People Manager,Jakarta, 5 – 10 tahun, USD 4.000 - 8.000
Quality Assurance Engineer,Tangerang, 5 – 10 tahun, USD 4.000 - 8.000
Front-end Engineer,Jakarta, 5 – 10 tahun, IDR 20.000.000 - 30.000.000
Business Development - Data Insight,Tangerang, Kurang dari setahun, IDR 5.000.000 - 8.000.000
Accounting Manager,"Mampang Prapatan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
Copy Writer,Jakarta, 5 – 10 tahun,
Senior Administration and Finance Officer,Cirebon, 3 – 5 tahun,Login to view estimated salary by Glints.
Fullstack Developer,Yogyakarta, 5 – 10 tahun, IDR 10.000.000 - 15.000.000
Legal counsel ,Jakarta, Kurang dari setahun,
Admin Finance,Jakarta,,
Visual Strategist,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Brand Communication Manager,Jakarta, 1 – 3 tahun,
Graphic Designer,Jakarta, 3 – 5 tahun, IDR 14.000.000 - 19.000.000
PURCHASING,"Penjaringan, Jakarta", 5 – 10 tahun, IDR 15.000.000 - 15.000.000
Magang Interpreter,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Senior Executive Finance,Jakarta, 3 – 5 tahun, IDR 3.500.000 - 4.000.000
SALES SUPERVISOR / SALES COORDINATOR,"Kebayoran Baru, Jakarta", 3 – 5 tahun, SGD 1.000 - 1.500
Jr. KOL MANAGEMENT - INTERNSHIP,Jakarta, Kurang dari setahun, IDR 100.000 - 1.500.000
Finance Staff (Part Time),Bandung, 3 – 5 tahun, IDR 15.000.000 - 25.000.000
Sales Executive,"Tanah Abang, Jakarta", 3 – 5 tahun,Login to view estimated salary by Glints.
Senior Backend Engineer,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Junior Network Engineer,"Kalideres, Jakarta", 1 – 3 tahun,
Division of Market Analyst ,Jakarta,, IDR 2.500.000 - 3.000.000
Content Creator Staff,Batam,,
Commis (Kitchen Staff),Jakarta, Kurang dari setahun, IDR 3.000.000
Division of organizational and business research ,Semarang, Kurang dari setahun,
Pricing Analyst (Intern),Bandung,,
Corporate Secretary,Tangerang, 3 – 5 tahun, IDR 8.000.000
Customer Service,Jakarta, Kurang dari setahun, IDR 5.000.000 - 5.500.000
Devops Engineer,Jakarta, 3 – 5 tahun, SGD 900 - 1.200
Senior Android Developer,Batam, 1 – 3 tahun, IDR 4.100.000 - 4.300.000
Senior Frontend Engineer,Batam, 3 – 5 tahun, IDR 4.500.000 - 7.000.000
PHP Software Engineer,Yogyakarta, 1 – 3 tahun, SGD 800 - 1.000
Finance Accounting Specialist,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Android Developer,Surabaya, Kurang dari setahun,
DevOps Engineer,Batam, 1 – 3 tahun,
Golang Developer,Jakarta, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
IoT Engineer,Semarang, 1 – 3 tahun, IDR 6.500.000
Legal Junior,Jakarta,,
Accounting and Tax Staff,Jakarta, Kurang dari setahun, IDR 1.800.000 - 2.500.000
Tax Accounting Supervisor,Jakarta,,
Videographer,Jakarta, 1 – 3 tahun,
Regional Operations Senior Associate (Data and Automation),Surabaya, 1 – 3 tahun, IDR 3.000.000 - 4.500.000
HR & GA,Semarang, Kurang dari setahun, IDR 6.000.000 - 8.000.000
Wordpress Web Developer,Medan, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Data Engineer,Malang, 1 – 3 tahun,
UI/UX Designer,Jakarta, Kurang dari setahun,
Field Collection,Surabaya, 3 – 5 tahun, IDR 6.000.000 - 10.000.000
Sales & Marketing Manager,Jakarta, 1 – 3 tahun, SGD 500 - 1.000
Project Manager,"Kebayoran Lama, Jakarta", 1 – 3 tahun,
Software Developer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
MOBILE DEVELOPER,Yogyakarta, Kurang dari setahun, IDR 2.500.000 - 3.000.000
Android Developer,Jakarta, 1 – 3 tahun,
Community and Content Planner ,, 1 – 3 tahun,Login to view estimated salary by Glints.
Business Development,Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
operator mesin laser (design corel),Jakarta, 1 – 3 tahun, IDR 4.200.000 - 5.000.000
GRAPHIC DESIGNER,Jakarta, Kurang dari setahun,
QA Tester,Jakarta, 3 – 5 tahun, SGD 900 - 1.200
Logistics Specialist,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 8.500.000
Database (Magang),Bandung, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
E-commerce Supervisor,Yogyakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Internship - Graphic Designer,Jakarta, 3 – 5 tahun,
Senior Content Marketing Consultant,"Senayan, Jakarta", Kurang dari setahun,
Software Developer (remote anywhere in Indonesia),Jakarta, 3 – 5 tahun,
UIUX Designer,Jakarta, 1 – 3 tahun, IDR 10.000.000 - 15.000.000
Graphic Designer Internship - WFO ,"Pancoran, Jakarta", 3 – 5 tahun, HKD 1.000 - 4.500
Automation QA Engineer (616),Badung, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Content Creator Planner Staff,, 1 – 3 tahun,Login to view estimated salary by Glints.
Graphic Design ( Cosmetics & Skincare ),Surabaya, 3 – 5 tahun,Login to view estimated salary by Glints.
English Teacher (Semarang & Jogja),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.500.000
iOS Developer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Product Analyst ,, Kurang dari setahun,
Accounting Officer,Cikarang, 5 – 10 tahun, IDR 15.000.000 - 15.000.000
Scrum Master,"Tebet, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 10.000.000
Copywriter,Jakarta,,
Kepala Regu Produksi,Bogor, 1 – 3 tahun, IDR 1.000.000 - 2.500.000
Fullstack Developer,South Tangerang, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
KEPALA CABANG (AREA LAMPUNG),Jakarta, 5 – 10 tahun, IDR 10.000.000 - 25.000.000
Senior Android Developer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Digital Content Writer,Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
SYSTEM ENGINEER,Tangerang, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
AGEN REAL ESTATE,Denpasar, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Content Writer Intern,Batam, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Training Staff - Image Editing,Jakarta, Kurang dari setahun, IDR 2.500.000 - 3.500.000
GRAPHIC DESIGNER INTERNSHIP,, 1 – 3 tahun, SGD 600 - 800
System Analyst,Yogyakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Project Manager,Surabaya, 3 – 5 tahun, IDR 7.000.000 - 9.000.000
Digital Media Tutor,, 3 – 5 tahun, IDR 7.000.000 - 9.000.000
Backend Developer (Middle and Senior ),Yogyakarta, 3 – 5 tahun, IDR 7.000.000 - 9.000.000
Staf Marketing Online - Penempatan Yogyakarta,Seminyak town, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Digital Marketing Support,Jakarta, 1 – 3 tahun,
Social Media Copywriter,Jakarta, Kurang dari setahun, IDR 3.500.000 - 5.000.000
Web Programmer,Bekasi, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Purchasing Staff,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Java Engineer Internship,Jakarta, 1 – 3 tahun,
Perawat,Jakarta, Kurang dari setahun,
PROJECT MANAGER,Jakarta, 1 – 3 tahun,
Supervisor Digital and Creative Marketing Specialist,"Tambora, Jakarta", 1 – 3 tahun,
MARKETING STAFF (IT),Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Finance & Accounting Surabaya,Bandung, 3 – 5 tahun,Login to view estimated salary by Glints.
Business Development Manager,Jakarta, 3 – 5 tahun, IDR 5.000.000 - 8.000.000
Pricing Analyst ,Tangerang, 1 – 3 tahun, IDR 1.500.000 - 6.000.000
Design Graphic,Bekasi, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Administration Staff (IFF Experienced),Yogyakarta, 1 – 3 tahun, SGD 500 - 700
Graphic Designer Intern,Jakarta, Kurang dari setahun, IDR 4.000.000 - 5.000.000
FOOD AND BEVERAGE MANAGER,Tangerang, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
CUSTOMER SERVICE,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 13.000.000
Field Sales - Yogyakarta,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
UI/UX Developer,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Project Control Manager,Yogyakarta, 1 – 3 tahun, IDR 8.000.000 - 15.000.000
Dealer (Global Futures and Commodities),Jakarta,, IDR 2.000.000 - 3.500.000
Staff Accounting,"Kuningan, Jakarta",,
SR. DIGITAL MEDIA PLANNER,Batam, 1 – 3 tahun,
Java Software Engineer (Junior / Senior Level),"Cengkareng, Jakarta", Kurang dari setahun,
Mechanical Design Engineer,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Photographer,Jakarta, Kurang dari setahun,Login to view estimated salary by Glints.
SALES MANAGER,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Frontend Developer,Tangerang, Kurang dari setahun, IDR 500.000
Intern Data Admin (Paid Internship),Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Finance Executive - Pembayaran (AP),Jakarta, Kurang dari setahun,
Social Media Officer,Gresik, 3 – 5 tahun, IDR 20.000.000 - 28.000.000
Customer Service Sales ,"Kelapa Gading, Jakarta",, IDR 4.000.000 - 10.000.000
Accounting,,,
Finance & Accounting Associates,Tangerang, 3 – 5 tahun,
Deputy Sales Manager FnB,Jakarta, Kurang dari setahun,
Telemarketing,Surabaya, 1 – 3 tahun,Login to view estimated salary by Glints.
Data Analyst,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Backend Developer - Ruby on Rails,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 13.000.000
STAFF AR,Jakarta, 1 – 3 tahun,
Accounting,Jakarta, 3 – 5 tahun, IDR 12.000.000 - 24.000.000
Business Analyst,Jakarta, 1 – 3 tahun,
Intern Fullstack ,Jakarta, 1 – 3 tahun,
IT Asset Management Intern,Batam, 1 – 3 tahun, IDR 9.000.000 - 12.000.000
Staff Marketing,Jakarta, 1 – 3 tahun,
Staff Marketing,Jakarta, 1 – 3 tahun,
Sales Executive Medan,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Admin Warehouse,Jakarta, 1 – 3 tahun,
Java Developer,Jakarta, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Digital Analyst,Cilandak, 1 – 3 tahun,Login to view estimated salary by Glints.
MANDARIN SPEAKER,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Finance & Accounting Staff,Jakarta, Kurang dari setahun,
Digital Marketing,Jakarta, Kurang dari setahun,
Backend Developer (Freelance) ,Jakarta, Kurang dari setahun, IDR 3.800.000 - 4.500.000
Field Sales - Surabaya,Jakarta, Kurang dari setahun,
DevOps Engineer,Yogyakarta, 1 – 3 tahun,
Accounting & Tax Assistant Department Head (BATAM),"Kembangan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 10.000.000
STOCK MARKET ANALYST,Jakarta, Kurang dari setahun, IDR 1.000.000 - 4.000.000
Business Development,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 20.000.000
Digital Ads Specialist,Jepara, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Intermediate ReactJS Engineer,Jakarta, 3 – 5 tahun, SGD 450 - 550
Lead UI/UX Designer,Jakarta, 1 – 3 tahun, SGD 500 - 800
UI / UX Designer,Batam, Kurang dari setahun, IDR 3.500.000 - 5.000.000
ANGULAR FRONTEND DEVELOPER,Sangatta, 1 – 3 tahun,
Sales Account Manager,Jakarta, Kurang dari setahun,
Sr Compliance Officer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Customer Service,Jakarta, 3 – 5 tahun,
Sales Executive,"Setiabudi, Jakarta", 3 – 5 tahun, IDR 7.000.000 - 12.000.000
Business Intelligence Support Specialist,"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 4.500.000
Full Stack Developer,Tangerang, 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Planner Moulding Injection ,, 3 – 5 tahun, IDR 7.000.000 - 8.500.000
iOS Developer,"Kebayoran Lama, Jakarta", 3 – 5 tahun,
Production Manager,Yogyakarta, 1 – 3 tahun,
Supervisor Produksi,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Operation Leader,Jakarta, Kurang dari setahun, IDR 1.000.000 - 1.500.000
CEO Office Associate,Bogor, 1 – 3 tahun, IDR 2.800.000 - 4.000.000
Ads Specialist/Digital Ads Specialist,Bandung,, IDR 2.500.000 - 5.000.000
Social Media and General Administration Staff,Bekasi,,
Mobile Engineer (Flutter),Malang, 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Customer Manager,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 12.000.000
Accounting Manager,Jakarta, 5 – 10 tahun, IDR 15.000.000 - 25.000.000
Customer Care Officer ,,,
Customer Service Officer,Jakarta, 1 – 3 tahun, IDR 3.200.000 - 3.500.000
Software Quality Assurance (Automation),"Mampang Prapatan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Sr Account Executive (Digital Team),"Senayan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 13.000.000
Marketing Director,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Call Center (PENEMPATAN SEMARANG),"Kalideres, Jakarta", 3 – 5 tahun, IDR 3.000.000 - 5.000.000
Marketing Associate,Yogyakarta, 5 – 10 tahun,Login to view estimated salary by Glints.
Finance Manager,Bandung, 3 – 5 tahun,
Sales Staff,"Pesanggrahan, Jakarta", Kurang dari setahun,
Associate Consultant (Sales) for Expansion Team,"Kuningan, Jakarta", 1 – 3 tahun,
architect,"Sunter, Jakarta", Kurang dari setahun, IDR 1.500.000 - 2.000.000
Talent Acquisition Consultant,Jakarta, 1 – 3 tahun, IDR 1.916.848 - 2.500.000
Assistant Manager Trainee,Surabaya, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
MARKETING & PROMOTION SUPPORT STAFF (SERPONG),Jakarta,, IDR 5.000.000 - 7.000.000
Telesales,Bandar Lampung,,
Management Trainee (Mandarin),Surabaya, 3 – 5 tahun, IDR 6.000.000 - 7.500.000
Backend Engineer,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 39.000.000 - 45.000.000
Sales  Manado Area ,Jakarta, 1 – 3 tahun,
general affair,Bandung,, IDR 4.000.000 - 5.500.000
Software Development Project Manager,Depok,,
JUNIOR TECHNICIAN,Yogyakarta, 1 – 3 tahun,
Freelance Host Live ,Tangerang, 3 – 5 tahun,
Sales Executive,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Social Media Specialist,Jakarta, 1 – 3 tahun, SGD 400 - 550
Internship UI/UX Designer,Jakarta, Kurang dari setahun,
Sales Advisor,Jakarta, Kurang dari setahun, IDR 4.000.000 - 5.500.000
Host Live Streaming,Yogyakarta, Kurang dari setahun, IDR 4.000.000 - 5.500.000
Project Supervisor SACME,Jakarta, Kurang dari setahun,
Quality Assurance,Batam, 1 – 3 tahun,
Corporate Strategy Specialist,Solo, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Marketing ,"Menteng, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.500.000
IT Testing Specialist,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 10.000.000
Project Manager,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Customer Service Marketplace,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 8.000.000
Programmer,Bogor, 3 – 5 tahun,
Social Media Specialist,"Blok M, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 6.000.000
STAFF MARKETING,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Internship Graphic Design,Bandung, 5 – 10 tahun,
[Internship] Ecommerce and Partnership,"Pesanggrahan, Jakarta", Kurang dari setahun, IDR 3.000.000 - 15.000.000
Junior PHP Developer,Malang, 1 – 3 tahun,
Quality Control Inspector,"Kembangan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
SALES GYM ONEBELL PARK,Jakarta, 3 – 5 tahun, IDR 12.465.666 - 16.349.366
Illustrator,Yogyakarta, 1 – 3 tahun, IDR 5.500.000 - 8.500.000
Preschool Teacher,Serpong, 1 – 3 tahun,Login to view estimated salary by Glints.
Staf Kasir,, 1 – 3 tahun, IDR 5.500.000 - 8.000.000
Head of Sales,Yogyakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
ReactJS Developer ,"Mampang Prapatan, Jakarta", 3 – 5 tahun,
Game Programmer,Jakarta, Kurang dari setahun,
Executive Secretary,"Tanah Abang, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 7.000.000
Account Officer - Lampung,, 1 – 3 tahun, IDR 7.000.000 - 10.000.000
Tax Accounting Internship,Bandung, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Export Import,Jakarta, 1 – 3 tahun,
Head Bar,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Content Creator & Social Media Specialist,Tanjungpinang, 5 – 10 tahun, IDR 8.000.000 - 10.000.000
Data Entry Intern,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Drafter Design Engineering,Jakarta, 1 – 3 tahun,
Business Analyst,Bandung, 1 – 3 tahun,
Data Analyst,"Kebayoran Baru, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Content Strategist,"Pesanggrahan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.600.000
FULLSTACK DEVELOPER STAFF,Yogyakarta, 1 – 3 tahun, IDR 6.000.000 - 11.000.000
Purchasing,Yogyakarta, 1 – 3 tahun,
Sales (Part Time),Bandung, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
Business Development,Tangerang, Kurang dari setahun,
Magang PKL Admin-Support,, 1 – 3 tahun, IDR 3.300.000 - 5.000.000
Content Manager (Hybrid),Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Admin Sales,"Senayan, Jakarta", 3 – 5 tahun, IDR 70.000.000 - 70.000.100
Operational Lab Partnership (Internship),Jakarta, 5 – 10 tahun, IDR 18.000.000 - 30.000.000
Game Developer,Semarang,, IDR 2.500.000
Creative Planner,,,
Transporter Acquisition,Depok, 1 – 3 tahun,
Web Developer,"Penjaringan, Jakarta", 1 – 3 tahun,
QA Automation,Tangerang, 1 – 3 tahun,
Site Reliability Engineer (Devops),Batam, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Graphic Design Intern,"Menteng, Jakarta", 1 – 3 tahun,
IT Cyber Security Bootcamp,Banjarmasin, 1 – 3 tahun,
Compliance Staff,Balikpapan, 1 – 3 tahun,Login to view estimated salary by Glints.
